"(0.01, 5, 0.9) C-1","(0.01, 5, 0.9) C-2","(0.01, 5, 0.9) C-3","(0.01, 5, 0.9) C-4","(0.01, 5, 0.9) C-5","(0.01, 5, 0.9) C-6","(0.01, 5, 0.9) C-7","(0.01, 5, 0.9) C-8","(0.01, 5, 0.9) C-9"
154743.0929260254,158081.7569885254,158359.9183959961,152234.40405273438,157464.69592285156,151017.48399353027,153615.88818359375,155775.2100830078,151287.51942443848
248463.23344421387,132502.24815368652,121787.21159362792,120273.06214904784,148657.68649291992,152819.95306396484,126156.91891479492,156231.9771118164,127101.7562866211
140949.2440185547,148675.35264587402,114962.4913330078,114590.42602539062,122253.02964782716,110243.77368164062,121274.73107910156,124218.11756896973,114840.31413269043
126876.44868469238,161315.27670288086,102678.46328735352,99177.72589111328,130720.07130432127,114634.24130249023,114845.16793823242,114919.15270996094,102898.67575073242
111218.83836364746,122661.59884643556,102257.93800354004,101871.27163696288,106306.83100891112,118194.19888305664,110386.46897888184,106693.8833618164,102149.71223449707
107375.85543823242,115648.84509277344,98587.01608276369,102151.45692443848,102763.36582946776,103637.44592285156,105146.08937072754,110320.12731933594,98866.72686767578
108236.5301361084,105753.21574401855,97575.01745605467,95787.11145019533,98926.81649780272,99052.97085571288,100953.81791687012,108518.37744140624,98155.26934814453
111542.15295410156,113842.65385437012,95014.65196228027,93275.23641967772,95310.17288208008,101496.81175231934,100121.96601867676,103098.27713012695,95921.16877746582
102603.88398742676,104090.445022583,89062.99990844727,92944.37370300292,96263.10661315918,99294.67852783205,103525.04086303712,95487.37634277344,92764.60740661621
104886.7518157959,100905.73167419434,92462.99082946776,89487.94633483887,92201.0915222168,94424.77799987792,98097.59251403809,98339.29071044922,94234.94721984863
104021.39602661131,100038.33381652832,87553.63681030273,95324.6106262207,94160.93203735352,95236.65113830566,93001.48306274414,98556.24006652832,90996.91584777832
102094.6358795166,99934.25758361816,84515.37437438965,89335.41523742676,92025.02632141112,93880.2513885498,96819.80464172363,95474.3194580078,93648.92765808105
102597.8024597168,99516.759475708,85398.30369567871,88449.70669555664,90286.15614318848,115436.53036499023,92528.3189239502,95947.16784667967,90976.13412475586
106722.70190429688,102329.36672973631,81184.9997253418,87453.95236206055,90876.1294708252,114912.12158203124,92875.79475402832,94646.01011657716,115761.63809204102
99248.8338470459,100205.1718902588,82151.21594238281,85420.12794494629,92090.53030395508,109824.77694702148,89467.67349243164,90982.34503173828,111652.75704956055
97007.3757019043,97171.9086303711,81160.82998657227,84979.93022155762,92981.22912597656,100847.92735290527,91058.15446472168,88030.62406921387,106090.11535644531
97613.31115722656,96311.36589050292,79355.05058288574,85765.67747497559,86921.32057189941,98928.41299438477,90181.36766052246,93043.4199371338,98024.76411437988
