"(0.01, 10, 0.5) C-1","(0.01, 10, 0.5) C-2","(0.01, 10, 0.5) C-3","(0.01, 10, 0.5) C-4","(0.01, 10, 0.5) C-5","(0.01, 10, 0.5) C-6","(0.01, 10, 0.5) C-7","(0.01, 10, 0.5) C-8","(0.01, 10, 0.5) C-9","(0.01, 10, 0.5) C-10"
155609.64045715332,166117.0948486328,161211.50164794922,162109.24644470215,161820.3653869629,165787.32725524902,160328.69647216797,162553.18501281738,162645.15669250488,160990.16094970703
105635.45101928712,106399.02836608888,104089.65460205078,105203.65049743652,106022.36296081544,104117.0689239502,104444.76640319824,105048.8116607666,104169.16409301758,105374.99198913574
99767.50170898438,100788.34701538086,98556.0305480957,99796.31465148926,100229.09432983398,98724.80281066896,98997.61235046388,98580.55097961426,98736.86988830566,99237.82293701172
96346.58670043944,97046.91369628906,95211.1954498291,96402.46185302734,97214.861328125,95028.92295837402,95879.77558898926,95344.42924499512,95444.35968017578,96026.63525390625
94080.91500854492,95064.13720703124,93545.70045471191,94164.58836364746,94569.3609008789,93364.54777526855,93590.09732055664,93321.24978637695,93483.3726348877,93848.14326477051
92222.38053894044,93425.0680847168,91942.72145080566,92628.17559814452,92938.65391540527,91437.35079956056,92075.0493927002,91911.75254821776,91915.60369873048,92014.93704223633
91171.24671936037,92166.7654876709,90617.5281982422,93007.56610107422,91938.11296081544,90619.974609375,90415.25593566896,90420.09526062012,90655.12091064452,91079.59173583984
90092.3530883789,90775.46351623537,90287.49058532716,90820.47032165527,90878.0936126709,89220.88182067871,89580.22227478027,89556.99002075195,89493.98071289062,89726.3794555664
88934.90365600586,89977.8579864502,88723.42366027832,89364.13958740234,89660.07833862305,88408.25854492188,88695.74015808105,88268.4949798584,88442.43342590332,88780.12702941895
87984.14669799805,89014.82852172852,87767.55448913574,88967.3123626709,88861.306640625,87616.78424072266,87541.7183380127,87666.91667175293,87476.22343444824,87614.78271484375
86931.95478820801,88332.11393737793,87154.09063720703,87763.33589172363,88143.79634094238,86592.86068725586,86789.07420349121,86292.49444580078,86686.74736022949,86648.0888671875
86295.9779510498,87210.58963012695,86328.93608093262,87058.06958007812,87433.39083862305,86430.9985961914,86076.48602294922,85985.05584716797,86027.93508911133,86144.78872680664
85742.38500976562,86564.64993286133,85499.06922912598,87022.62858581543,86491.59280395508,85409.71287536621,85285.41687011719,85398.49998474121,85302.31053161621,85508.0987701416
85171.66354370117,85854.33016967773,84962.07415771484,85894.56149291992,85751.92489624023,84601.78742980957,84733.1224822998,84750.25881958008,84997.11161804199,84645.47105407715
84155.33822631836,85157.38771057129,84475.58149719238,85445.56269836426,85362.17575073242,84132.75001525879,84149.08784484863,84016.86810302734,84047.62059020996,84397.86083984375
83804.77914428711,84818.70002746582,83518.18266296387,84860.92286682129,85029.42709350586,83247.76940917969,83207.74844360352,83479.60568237305,83609.98475646973,83482.46789550781
83129.96611022949,84135.96997070312,83039.84419250488,84099.08489990234,84268.58786010742,82922.50366210938,82905.30171203613,82874.5711517334,82867.09971618652,83046.36923217773
82830.84201049805,83522.7400970459,82330.6000366211,83632.59535217285,83736.14921569824,82292.85363769531,82297.36683654785,82497.64306640625,82261.21290588379,82550.62884521484
82371.55197143555,83145.31367492676,81813.02490234375,83020.95880126953,83348.4296875,81558.1033782959,81815.43775939941,81807.29563903809,82212.36744689941,81970.64889526367
81581.67181396484,82814.13626098633,81416.70532226562,82809.30638122559,82775.29782104492,81173.7130279541,81350.96420288086,81166.98793029785,81324.93322753906,81181.75891113281
81082.13957214355,82063.1393737793,80933.29109191895,82171.67517089844,82349.95771789551,80833.0161743164,80777.17375183105,80935.2674407959,80982.07572937012,80869.91247558594
80425.27044677734,81545.86303710938,80443.89723205566,81522.79652404785,81777.39086914062,80070.44375610352,80253.22082519531,80288.06700134277,80353.88983154297,80103.79444885254
80150.31468200684,81133.14128112793,79840.05032348633,81178.93984985352,81627.4966583252,79509.66961669922,79629.82374572754,79576.19239807129,79997.67378234863,79921.15438842773
79718.4673461914,80468.6205291748,79499.56349182129,81191.75817871094,81078.11407470703,79226.43853759766,79564.40434265137,79420.7114868164,79557.07229614258,79509.2777557373
79273.14421081543,79970.30812072754,79049.94181060791,80170.29722595215,80461.4787902832,79070.1368560791,78859.65451049805,79081.03826904297,79278.37295532227,78954.79124450684
