"(0.003, 10, 0.75) C-1","(0.003, 10, 0.75) C-2","(0.003, 10, 0.75) C-3","(0.003, 10, 0.75) C-4","(0.003, 10, 0.75) C-5","(0.003, 10, 0.75) C-6","(0.003, 10, 0.75) C-7","(0.003, 10, 0.75) C-8","(0.003, 10, 0.75) C-9","(0.003, 10, 0.75) C-10"
122197.23294067384,121811.51234436037,115885.6929473877,120601.59056091309,117373.64932250977,117300.45219421388,115438.6266784668,120813.4168395996,125322.67665100098,117531.32588195801
94410.05087280272,94808.11328125,93969.55519104004,94196.27030944824,93942.5567779541,93808.30821228027,93864.88619995116,94623.81652832033,95287.94128417967,93803.40698242188
90488.84031677246,90604.28875732422,90253.82495117188,90714.72302246094,90321.71112060548,90524.65171813963,89895.78514099121,90741.75463867188,90553.52349853516,90131.9781036377
88542.29605102539,88560.21403503418,88445.40748596191,88293.4513092041,88273.86715698242,88432.11614990234,89122.16078186035,88347.28639221191,88543.71842956543,88240.86047363281
86678.42834472656,87075.7557220459,86937.45930480957,86570.7018737793,86722.07945251465,86941.29244995117,86816.54949951172,86913.70709228516,86896.09545898438,86818.10902404785
85752.36364746094,85773.92852783203,85653.21476745605,85558.11227416992,85518.28674316406,85680.78813171387,85879.24140930176,85638.55964660645,85627.66847229004,85444.9012298584
84523.29815673828,84572.73570251465,84510.13307189941,84275.48231506348,84391.44464111328,84472.88090515137,84858.5041809082,84577.73745727539,84376.6916809082,84354.81074523926
83644.56396484375,83697.08805847168,83566.71766662598,83391.71098327637,83287.63844299316,83549.61224365234,83480.4066619873,83791.85009765625,83361.80479431152,83241.76463317871
82775.92098999023,82880.75401306152,82687.61407470703,82481.37684631348,82570.68734741211,82527.20043945312,82792.8508605957,82650.05471801758,82666.60275268555,82395.25680541992
81818.87251281738,82010.38493347168,82277.15222167969,81662.94847106934,81716.47598266602,81884.4564666748,81879.98498535156,81770.38897705078,81800.71778869629,81622.15399169922
80879.7000579834,80910.41023254395,81251.02893066406,80879.64088439941,80921.68417358398,81253.96615600586,81178.57977294922,81308.60050964355,80843.59791564941,80634.98194885254
80374.0690612793,80594.7932434082,80379.44703674316,79966.89134216309,80326.49894714355,80371.82099914551,80346.94061279297,80517.10293579102,80093.44035339355,80085.45384216309
79635.51933288574,79761.05165100098,79593.2386932373,79302.43962097168,79514.41796875,79434.45634460449,79696.79995727539,79757.71841430664,79647.99041748047,79235.11022949219
79051.76536560059,79246.75592041016,78890.08972167969,78709.06433105469,78950.50497436523,78851.44389343262,78971.80101013184,79254.78231811523,78723.86463928223,78608.97950744629
78406.30400085449,78668.16137695312,78075.1361541748,77988.79583740234,78358.96957397461,78152.26518249512,78342.09093475342,78492.11630249023,78428.01826477051,78013.79466247559
77847.85632324219,77840.81176757812,77756.6442565918,77463.49572753906,77758.33491516113,77805.34997558594,77507.61503601074,77575.72989654541,77716.17477416992,77476.40789794922
77115.87001037598,77291.9624786377,76879.50224304199,76863.90459442139,77145.45483398438,77070.99952697754,77241.62492370605,77070.16899108887,77165.44223022461,76820.96306610107
76562.73231506348,76596.23977661133,76265.61045837402,76477.56440734863,76606.70286560059,76418.87837219238,76627.52983856201,76600.5334854126,76569.17915344238,76300.63235473633
76078.48057556152,76152.34117889404,75859.99050140381,76085.91563415527,75912.04232788086,76185.31245422363,75921.20129394531,76161.96482086182,76098.03075408936,75784.46238708496
75735.79764556885,75279.51076507568,75433.91957092285,75380.39343261719,75715.25129699707,75088.36781311035,75284.85740661621,75834.28511047363,75520.85710906982,75278.7230758667
75038.2303314209,75055.91297912598,75133.42784118652,74800.1397781372,75160.83798980713,74793.00734710693,74964.59169769287,74995.44188690186,75186.62996673584,74794.54209136963
74493.63898468018,74490.70118713379,73883.73052215576,74433.78806304932,74275.48052215576,74465.14022064209,74693.56241607666,74643.96578979492,74550.80731964111,74491.16639709473
74150.35411071777,74280.69068908691,73629.96116638184,74027.26790618896,74245.52040863037,73641.25512695312,73822.79911804199,74208.78057861328,74150.86206054688,73979.51496124268
73328.96103668213,73684.58518981934,73008.82088470459,73208.43630981445,73392.06853485107,73001.03587341309,73377.85774230957,73799.92994689941,73584.17496490479,73131.93759918213
73061.89683532715,72903.40352630615,72846.85105133057,72986.8011932373,73019.99021911621,72715.53845214844,72976.6912612915,73185.60279846191,73016.54374694824,72779.0164718628
