"(0.01, 0, 0) C-1","(0.01, 0, 0) C-2","(0.01, 0, 0) C-3","(0.01, 0, 0) C-4","(0.01, 0, 0) C-5","(0.01, 0, 0) C-6","(0.01, 0, 0) C-7","(0.01, 0, 0) C-8","(0.01, 0, 0) C-9","(0.01, 0, 0) C-10"
143041.88459777832,144790.67637634277,139534.77798461914,148898.12783813477,150326.18785095215,148986.31288146973,144987.58750915527,145245.8715057373,148482.03271484375,146108.98184204102
105048.71633911131,105912.71493530272,102905.18446350098,105904.25610351562,105095.7684173584,107115.1304321289,101465.86087036131,106754.19395446776,104596.62350463869,104976.75483703613
98857.90341186523,99546.6986694336,97955.39039611816,100125.67024230956,101263.26901245116,100601.39868164062,96418.62794494627,100700.26454162598,99238.23861694336,98955.01330566406
94899.92762756348,96032.34825134276,94877.79098510742,96765.97813415527,98199.44668579102,97245.26023864746,93743.2816772461,96755.69853210448,95846.98788452148,95631.90518188477
93036.0831604004,93458.0783996582,92694.9776763916,94748.58039855956,95829.7937927246,94788.12329101562,91846.74855041504,94433.97526550292,93315.50076293944,93795.29780578613
91489.54299926758,91506.92372131348,91352.89151000977,92869.98530578612,93957.42826843262,92705.35205078124,90479.19026184082,92699.71691894533,91755.16543579102,92124.07696533203
90341.61848449708,90346.5359802246,90544.05180358888,91783.26493835448,92576.03713989258,91374.73225402832,89252.14106750488,91498.57511901855,90489.05522155762,90702.71243286133
89148.0789642334,89326.53941345215,88876.61811828613,90343.5581817627,91513.3996887207,90337.18290710448,88173.92419433594,90039.67921447754,89321.65698242188,89785.3948059082
88130.42916870117,88435.7836151123,87804.63000488281,89637.80757141113,90883.9009552002,89141.0308380127,87243.73017883301,89106.76768493652,88014.70343017578,88903.84175109863
87156.76397705078,87501.22158813477,87301.94903564453,88559.1644897461,89883.60647583008,88104.5246887207,86404.95649719238,88137.9507598877,87220.4585723877,88076.10650634766
86189.10151672363,86774.22348022461,86583.83288574219,87912.54502868652,89261.58602905273,87403.13774108887,85880.19361877441,87636.6766204834,86118.18731689453,87164.9330291748
85353.13569641113,86205.9884185791,85822.02052307129,87083.13339233398,88364.22323608398,86352.74586486816,84909.09638977051,86664.80934143066,85225.0396270752,86389.12216186523
84616.59506225586,85074.98805236816,85187.49029541016,86470.93440246582,87961.73622131348,85811.68370056152,84154.11897277832,85875.22607421875,84435.32865905762,85899.68270874023
84233.27795410156,84648.92091369629,84503.30197143555,85857.26301574707,87394.70262145996,84761.45468139648,83458.59452819824,85302.41827392578,83844.92030334473,85149.36161804199
83294.1734008789,83863.99496459961,83700.41455078125,85212.28971862793,86558.12690734863,84367.3215637207,82912.80755615234,84622.92234802246,83117.03201293945,84396.97088623047
82795.20138549805,83358.14682006836,83135.43476867676,84701.41616821289,86062.88786315918,84029.24978637695,82273.7658996582,84158.88285827637,82468.99702453613,83967.55400085449
82099.72941589355,82917.59672546387,82606.76354980469,83903.80128479004,85796.05096435547,82996.8507232666,81687.17602539062,83544.5092010498,81970.56147766113,83220.67727661133
81701.86145019531,82241.45018005371,81811.69863891602,83660.57640075684,84971.17031860352,82461.66650390625,80875.71966552734,82681.70098876953,81424.58689880371,82851.33863830566
81219.70111083984,81917.33393859863,81379.29615783691,83006.6314086914,84645.12898254395,81927.43432617188,80546.12342834473,82271.17391967773,80421.47611999512,82283.11624145508
80580.71572875977,81131.13636779785,80758.63833618164,82610.48143005371,83965.18844604492,81449.57559204102,79843.22689819336,81813.96119689941,80120.42860412598,81584.87548828125
80086.4208984375,80720.12356567383,80081.09481811523,81876.0718536377,83702.25790405273,80855.57431030273,79293.30769348145,81243.92817687988,79542.32400512695,81312.79969787598
79564.99206542969,80175.33987426758,79974.52674865723,81525.91107177734,83237.34689331055,80282.70471191406,78868.35684204102,80981.88024902344,78958.49250793457,80855.49565124512
79127.12406921387,79943.23635864258,79525.58769226074,81111.95506286621,82804.87286376953,80033.42333984375,78345.13037109375,80331.65032958984,78725.87814331055,80223.41256713867
78544.7928314209,79397.44161987305,78745.55197143555,80778.97071838379,82348.07511901855,79373.85317993164,78173.73928833008,80011.39050292969,78229.8988647461,79602.8489074707
78159.86799621582,79233.04342651367,78596.82531738281,79981.87175750732,82091.39567565918,79185.9810333252,77501.21147155762,79620.39448547363,77695.91408538818,79412.17184448242
