"(0.01, 0, 0) C-1","(0.01, 0, 0) C-2","(0.01, 0, 0) C-3","(0.01, 0, 0) C-4","(0.01, 0, 0) C-5","(0.01, 0, 0) C-6","(0.01, 0, 0) C-7","(0.01, 0, 0) C-8","(0.01, 0, 0) C-9","(0.01, 0, 0) C-10","(0.01, 0, 0) C-11","(0.01, 0, 0) C-12","(0.01, 0, 0) C-13","(0.01, 0, 0) C-14","(0.01, 0, 0) C-15","(0.01, 0, 0) C-16","(0.01, 0, 0) C-17","(0.01, 0, 0) C-18","(0.01, 0, 0) C-19","(0.01, 0, 0) C-20"
139586.24179077148,152101.7938232422,143885.84419250488,144776.18658447266,145293.02299499512,143548.0161895752,149405.3807373047,147088.7093963623,147191.12661743164,149169.08959960938,130566.07164001463,142350.54475402832,137319.98930358887,143896.2540588379,139470.01181030273,138719.29447937012,128363.299118042,138795.47523498535,148971.8211669922,138282.5532989502
105281.17582702637,103361.63957214355,102972.04888916016,104407.75665283205,105215.5308227539,104236.65266418456,105450.65278625488,104489.8331298828,103727.25900268556,107494.28286743164,103726.01606750488,106085.92617797852,101091.73254394533,103354.07943725586,103539.0346069336,102314.1146850586,110120.50685119627,107122.08697509766,107707.61328125,106277.50382995605
100946.3609161377,97903.46452331544,97888.4139251709,98901.52278137208,99507.44676208496,98395.57878112792,100175.38105773926,99386.7453918457,98858.7428894043,104062.05561828612,99409.3917388916,99890.76354980467,96277.85746765137,98797.87312316896,97603.71025085448,99401.36517333984,103625.86988830566,102998.8249206543,103232.03614807127,101728.8070678711
97935.58044433594,94770.01538085938,94722.1470489502,95564.90461730956,96145.42167663574,95616.39408874512,97185.51249694824,95722.61312866212,96058.5086517334,101060.8563232422,96617.52059936523,96535.23532104492,93765.409866333,96193.55082702637,94081.54753112792,95544.55923461914,99108.53610229492,99823.83128356934,98575.45010375977,97777.91835021973
95797.5948638916,92366.30625915527,92730.32209777832,93260.595413208,94290.83543395996,93400.18901062012,95196.7593536377,93177.34786987305,94191.00517272948,98166.8568572998,94190.9759979248,94101.06352233888,91951.84425354004,93928.50569152832,91966.18058776855,93861.4178314209,95380.00022888184,97379.9122467041,95822.58639526369,95148.04595947266
94025.6206665039,90887.8526916504,91407.31773376463,91732.66673278809,95914.94078063963,91769.82528686523,93346.89070129396,91574.48515319824,92907.51268005373,96050.2250213623,92527.61315917967,92067.10841369627,90605.22648620604,92164.27171325684,90385.83155822754,92489.93296813963,92962.92202758788,95785.15078735352,94663.68504333496,93358.30778503418
92879.7000427246,89741.24726867676,90247.51277160645,90366.86506652832,92897.09524536131,90597.09899902344,91982.4262084961,90219.29122924805,91631.69773864746,94592.931350708,90895.7179260254,90950.82139587402,89710.43989562988,91104.97090148926,89411.35656738281,91019.87969970705,91520.55200195312,94533.33238220216,92647.15928649902,91675.91116333008
91711.03594970705,89028.79081726074,89378.15826416016,89524.23512268066,91301.82130432127,89454.15971374512,90822.79188537598,89621.79664611816,90738.80380249023,93218.41445922852,89673.37181091309,89733.64367675781,88601.75695800781,90086.02442932127,88105.85899353027,90086.0764312744,90239.29829406738,93424.04957580566,91476.93992614746,90378.99491882324
91083.6019744873,87866.81866455078,88267.65556335449,88794.68376159668,89984.84210205078,88679.85543823242,89869.56655883789,88795.20216369629,90027.76469421387,92161.84616088869,88600.0711517334,89044.97520446777,87783.62677001953,89460.0029296875,87095.89056396484,89217.10737609863,89203.33926391602,91987.74739074708,90491.75480651855,89519.28004455566
90444.25045776369,88504.88137817383,87515.52214050293,87989.12713623047,89361.58178710938,87699.79223632812,88860.53291320801,87381.96391296387,89294.49948120117,91305.28771972656,87674.51547241211,88053.17057800293,86934.74183654785,88555.6296081543,86407.38537597656,88560.71745300293,88404.21717834473,91050.28019714355,89791.24725341797,88534.17921447754
