"(0.003, 0, 0) C-1","(0.003, 0, 0) C-2","(0.003, 0, 0) C-3","(0.003, 0, 0) C-4","(0.003, 0, 0) C-5","(0.003, 0, 0) C-6","(0.003, 0, 0) C-7","(0.003, 0, 0) C-8","(0.003, 0, 0) C-9","(0.003, 0, 0) C-10"
72243.8949432373,73566.83332061768,73878.76287841797,73798.69680023193,72854.3789138794,73443.41162872314,73409.63153839111,73272.74485778809,73859.21272277832,74549.47849273682
50622.68999481201,51266.605880737305,51142.87677001953,51667.38892364502,50492.07113647461,51277.40005493164,51851.88751220703,51114.74793243408,52087.52481460571,52114.47932434082
41391.872634887695,41521.8171043396,41547.49255752564,41680.93149185181,41031.50868606568,42169.62267303467,42109.00333786011,41370.01123428345,42131.13642883301,41864.1708946228
35019.86628341675,35087.334438323975,34805.08157348633,35533.66665267944,35021.774421691895,35714.927642822266,35710.50607299805,34711.890480041504,35359.5359916687,35065.85521697998
30041.08879852295,29662.266567230225,29472.936330795288,29832.084522247314,29864.16282272339,30878.129638671875,30375.60279083252,29548.25220108032,29832.89679336548,29891.66003036499
25353.621822357178,25305.482997894287,24776.55214881897,25263.712890625,24906.90323829651,26106.022708892822,25810.991605758667,24899.09656333924,25397.649419784542,24988.913747787476
21591.97568893433,20929.908054351807,19893.057899475098,21039.95597267151,20999.10405826569,21785.97817993164,21357.25071144104,20686.92631340027,20627.005975723267,20539.134651184082
17568.99187850952,16770.94877243042,16168.35043334961,16917.887640953064,16978.16529560089,18157.216470718384,17465.313269615173,16556.574880599976,16378.277465820312,16992.789459228516
14422.5434217453,13567.83899307251,12804.957932472227,13389.647149562836,13576.51238822937,14227.099417686462,14307.753549575806,13316.83333158493,12950.688221931458,13283.098880290985
11705.568105697632,10906.875549793243,10124.292737483978,10597.961406707764,10666.660238742828,11583.888555526732,11373.9521484375,10561.266063213348,10612.182962417604,10450.234765529633
9283.28858757019,9106.25124335289,8692.540551185608,8735.066453695297,8720.656562328339,9334.555122375488,9346.005883693697,8541.239503860474,8701.716930866241,8579.51051235199
7644.488852977753,7039.945150613785,6703.68315589428,7075.440944433212,7140.91279900074,8232.842556238174,7636.632588386536,7302.097220182419,7013.953453063965,6829.64938044548
6664.13393163681,6477.603379368782,6810.403158664703,6160.590817689896,6110.076609671116,6466.425728321075,6609.898630619049,6063.989000320435,5763.066046476364,6354.711451292038
5842.619096040726,5379.553951382637,4875.242170333862,5959.850192904472,5412.135426878929,5620.663994550705,5519.904454469681,5842.293849110603,5524.849529504776,5585.394441366196
5331.326543331146,5076.630553603172,4533.647128045559,4661.458393573761,4864.568471312523,5394.545262217522,4927.291180551052,4785.712948918343,4583.565693795681,4665.094180941582
4542.036027252674,4437.546408593655,4235.134151220322,4413.742574632168,4344.51211476326,4589.807199597359,4539.833349704742,4395.649797320366,4838.152095913887,4230.912728607655
4416.973123550415,4422.970233798027,4052.867855906488,4015.089265882969,4517.409943819046,4235.5768756866455,4362.899263858795,4151.607196629047,4675.156374633312,3997.606925368309
4002.908073604107,4094.62704539299,3571.5337018072605,3822.066090464592,3802.724168241024,4170.093973040581,4103.315343767405,3750.426814734936,3514.074123263359,4389.470138013363
3687.95660585165,3966.826829612255,3312.556391596794,3624.647454410792,3468.4336008429527,3687.2500891685486,3471.517342031002,3555.9980627298355,3529.1707616746426,3219.6041973531246
3333.798673093319,3354.058764666319,3230.922041296959,3141.6345234513283,3434.8312096893787,3429.931051284075,3556.5331729352474,3278.0910343527794,3212.618474006653,3778.096885561943
3335.7394118011,2927.088061749935,3270.55194234848,3274.471049964428,3224.157291561365,3372.973654270172,3095.762253969908,2887.423249542713,3158.501912087202,2961.3273172080517
3120.7168632149696,2958.6875544786453,2767.3641752004623,2822.9109668433666,2978.088503807783,3024.350848019123,3114.089775890112,3436.7561287879944,2897.5889394134283,3134.9504863917828
3075.4673544168472,2967.676474094391,3015.7377712130547,2852.778769552708,2857.7636494785547,2830.447051972151,2926.548680871725,2791.678192064166,2768.0212567448616,2984.3353957533836
2683.5321440547705,2886.843364059925,2673.716334193945,3615.37815079093,2695.732988655567,2874.2417597919703,2769.059496998787,2604.825122773648,3114.669095337391,2508.008211016655
2904.5702161192894,2674.105688929558,4200.162457853556,3030.805194735527,2464.247473448515,2707.324499428272,2491.123923867941,2576.2527202814817,2453.473603799939,2487.268592238426
