"(0.003, 0, 0) C-1","(0.003, 0, 0) C-2","(0.003, 0, 0) C-3","(0.003, 0, 0) C-4","(0.003, 0, 0) C-5","(0.003, 0, 0) C-6","(0.003, 0, 0) C-7","(0.003, 0, 0) C-8","(0.003, 0, 0) C-9","(0.003, 0, 0) C-10"
53494.30640411377,53208.75996017456,53843.28643798828,54262.01059341431,52474.06880950928,53628.90097045898,53821.74677658081,53640.7008934021,53060.47415924072,53962.60237121582
38379.01532363892,38339.132469177246,38811.7682800293,38617.93088150024,38199.5078086853,39321.60121154785,38830.2707862854,39125.16089248657,38530.43558120728,38436.44206619263
29937.572101593018,30677.004512786865,30768.108108520508,31021.030193328857,30124.109001159668,30787.30350112915,31046.320859909058,31140.67967605591,30345.299480438232,30401.941032409668
24163.82257080078,24015.564435958862,24372.634386062626,24541.16609954834,23750.947244644165,24187.379568099976,24537.22666740417,24478.94559860229,24319.51906967163,23707.777198791504
18292.742197036743,18150.94411182404,18932.753314971924,18866.35012054444,18053.582872390747,18198.65758323669,19037.555700302124,18164.587074279785,18455.9477558136,17893.47314453125
12774.475729465485,12545.503818511965,13011.466172218325,13206.70566558838,12330.206639289856,12667.809739112854,13022.252161026,12845.107889175417,12982.663507461548,12098.996842384338
7965.250188589096,7368.677512168884,8109.905722141266,7944.289282798767,7382.327663421631,7655.144842147827,8034.922068119049,7757.619483947754,7939.589338302612,7313.529152870178
4274.84055352211,3647.679250717163,4274.99393594265,4224.073837995529,3945.924374461174,3968.961217522621,4222.850672483444,3989.2466671466814,3997.563577532768,3668.2228251695633
1970.10045093298,1844.3425872325893,2002.235796034336,1981.7979978322985,1855.2096171975136,1844.5245475173,2000.682860314846,1995.474640250206,1936.3586459755895,1770.126663684845
1020.2840591073036,952.2743469774724,1051.4152495861051,1010.1585999727248,1055.7410943508148,1025.8568133711815,1086.210793167353,967.9315878748894,1126.1761093139648,989.8154879957438
650.6523241400719,703.7795334160328,622.3209713995457,644.6968330740929,600.4535126388073,654.3227851688862,742.4599484205246,658.8332272768021,664.6588749587536,556.9460131675005
500.8171757161617,487.7829705476761,493.4939626306296,546.6555558592081,528.6055939346552,545.3618220537901,521.016691789031,574.8357836604118,504.2891466319561,463.01390708982944
380.7051734179258,399.45895282924175,406.6113405525685,354.2781910300255,405.6410921067,435.81769704818726,400.50252087414265,369.0402886122465,403.6141982674599,374.04071025550365
321.93757206201553,327.0534423738718,321.4321594685316,360.20582887530327,316.3019480779767,336.9052494466305,331.7625751644373,321.019936427474,314.77554565668106,321.5132908523083
270.0469102934003,246.51883427798748,253.82465732842684,263.174823962152,255.77945931255817,301.0229302421212,271.2902131229639,274.83233074843884,292.45818439126015,261.640880651772
234.84224005043507,246.7253692299128,234.21864837408063,228.3091427236796,223.6578848361969,245.70616608858109,278.47777535021305,223.56862365454435,252.10590171813965,247.76716509088874
205.74215494841337,195.3706940338016,206.98594895005223,214.16190237551928,218.22183008492,214.07595010846853,235.86311420798305,211.8300015553832,237.59045907109976,226.60111967474222
198.7468927502632,207.15690506249663,191.5395120233297,190.1688679158688,181.52997322380543,194.08541490137577,190.56293755024672,197.42628599703312,194.79874509945512,240.85768351703882
181.112844504416,158.56707655265927,163.92665976658463,180.53665395081043,196.60731821507213,164.1805434897542,182.38121046870947,162.58837150782347,181.8819884061813,157.83961248770356
177.42717542499304,175.48827849328518,179.97559059783816,166.4676968306303,156.24366554617882,177.56875354796648,167.73781173676252,166.12645463645458,162.3603691160679,177.86824637651443
143.2837264239788,159.157600030303,163.42577981576324,149.67159179598093,170.7620450593531,152.87880447506905,169.30767738819122,151.39782636612654,129.1128753013909,136.26886587962508
167.28657733649015,131.16218331083655,127.73951576277614,147.85036087036133,137.4744074679911,138.1917513757944,132.81798526644707,158.6406625211239,150.51559434458613,157.04176703840494
135.37513752281666,187.73924490064385,125.89622904360294,125.1819260995835,117.2215641848743,151.2820086479187,124.52774981409311,127.97868759557603,117.00208419561386,115.68035031110048
118.42445321008564,105.33795188739896,121.90819139033556,111.01600605621934,116.56264973804356,111.65758887305856,126.27136728167534,121.27013824135064,147.1465561054647,112.31068347394466
122.65490282699466,112.8106778562069,123.37287728115916,127.6190552264452,121.55498659610748,111.17286662757397,144.02464887872338,124.61513913795352,126.8824847638607,132.6802689563483
