"(3e-05, 0, 0) C-1","(3e-05, 0, 0) C-2","(3e-05, 0, 0) C-3","(3e-05, 0, 0) C-4","(3e-05, 0, 0) C-5","(3e-05, 0, 0) C-6","(3e-05, 0, 0) C-7","(3e-05, 0, 0) C-8","(3e-05, 0, 0) C-9","(3e-05, 0, 0) C-10"
75503.54174804688,75458.26252746582,75074.01933288574,76331.99704742432,76051.39896392822,77149.74953460693,77091.5458984375,76089.00631713867,77125.56679534912,77199.1142578125
40757.81162261963,40246.92198562622,40487.7583694458,42853.62459945679,41595.0161857605,41000.08039474487,43265.81994628906,40257.695861816406,41370.55944061279,44874.36024093628
33598.43907546997,32246.193672180176,34103.42316818237,35906.29580307007,34399.41196060181,33186.35489654541,34234.00713348389,34387.549797058105,35489.970973968506,37340.479290008545
32186.80308151245,29116.39964675904,29054.51622390747,32138.80801773072,30937.24529266357,30061.39697265625,30172.81202697754,31024.76402282715,31315.705406188965,33347.10930252075
32256.25693130493,28753.29609298706,29061.172481536865,31305.25298309326,29988.983379364014,30488.55938339233,29666.409061431885,30612.992881774902,30431.830368041992,30740.985134124756
30792.71585464477,28824.99398803711,31528.75324249268,30595.590225219727,30433.186237335205,29288.37452697754,30277.5159034729,30232.80132293701,30108.0418510437,28938.71559906006
30294.32023620605,29530.29194259644,33581.06951522827,29402.954544067383,30305.696350097656,30578.65238571167,30041.265171051025,29944.63145065308,29648.337131500244,28682.214458465576
31440.788341522217,29640.56001663208,30875.65213012696,29244.09590911865,29478.64656829834,29851.02163696289,28531.2569732666,28019.49680328369,28309.224018096924,28930.426692962646
29619.740997314453,31932.639728546143,29370.46321105957,28579.087196350098,27764.26174545288,28993.91866493225,26716.836322784424,28844.76873779297,29256.56308746338,27389.979654312134
29140.510208129883,30272.74948501587,27204.84365081787,28283.541749954224,29908.300397872925,27890.05121612549,25236.663625717163,28464.663242340088,27262.70609664917,25517.381580352783
27028.81969833374,28297.526222229004,26817.65574645996,27624.85857009888,33004.19988632202,27893.57036972046,25360.457250595093,27233.12810516357,27811.7798538208,25962.54768371582
27872.876276016235,26153.672025680546,28110.8252735138,25154.500324249268,30768.28352355957,28588.04784011841,24806.81493377685,26335.31902503968,27769.13781929016,25212.321994781494
26949.835077285767,26391.766702651978,27274.29961395264,25417.18546295166,31211.209350585938,28279.44276046753,22269.12552452088,25300.29567718506,26811.37364578247,23473.264081954956
26110.31109046936,27933.93841934204,26142.706470489506,25041.58772087097,31303.28466796875,26494.58602905273,24087.44327354431,24727.25835418701,25657.652685165405,26501.026905059814
25597.862142562863,26543.761432647705,26021.02388381958,25025.478023529053,29745.88666534424,24078.47397232056,25173.847728729248,24530.762657165527,25958.85885810852,27179.88028717041
23236.96311950684,26462.75867843628,24679.385417938232,25647.528135299683,27319.168811798096,25311.6547164917,24953.92266845703,24894.255298614506,26794.896352767944,27508.662370681763
25955.92193603516,25340.63475036621,24078.169748306274,26348.6518535614,25337.93900108337,27418.659830093384,24614.026678085327,25600.555555343628,27341.236598968502,27337.338535308838
26394.84874343872,25187.905151367188,22156.553409576416,26440.16770362854,24869.92695426941,25352.231817245483,21614.851039886475,24377.59529685974,25052.598739624023,28616.35174560547
25318.81109046936,26080.01312828064,22041.34598922729,24584.115676879883,25115.61476135254,22295.249382019043,20768.54387283325,23045.72078704834,24132.88926887512,27505.055408477783
26517.131908416748,24565.66333580017,23633.99759101868,23497.125385284424,24925.881593704224,22420.294025421143,21357.75738334656,21837.39691925049,23156.20819091797,26266.49022293091
26783.735179901123,24388.335479736328,26127.939029693604,23099.12931060791,25681.624702453613,22601.70629310608,23997.22736549377,21064.783630371094,23620.083366394043,24511.77779006958
26597.59735488892,22537.18788719177,23771.10269737244,22752.761302948,25065.15921020508,22741.670515060425,24454.615699768063,21148.71171951294,23050.040906906128,23258.63875389099
25628.51824378968,21711.18877220153,21938.85071182251,21626.733083724976,23431.805324554443,21251.70288848877,23973.545429229736,21296.23753738404,22297.365226745605,23257.651433944702
25751.123334884644,22789.164699554443,21611.954870224,21071.98933982849,25710.09125137329,20520.15740585327,26512.37345314026,22325.87956047058,20897.937828063965,22914.515182495117
24307.57107925415,22641.05321502685,20763.289247512817,21748.879962921143,24084.05568122864,20920.59583091736,24563.039644241333,21716.290100097656,20741.01988601685,23103.57313156128
