"(0.003, 10, 0.5) C-1","(0.003, 10, 0.5) C-2","(0.003, 10, 0.5) C-3","(0.003, 10, 0.5) C-4","(0.003, 10, 0.5) C-5","(0.003, 10, 0.5) C-6","(0.003, 10, 0.5) C-7","(0.003, 10, 0.5) C-8","(0.003, 10, 0.5) C-9","(0.003, 10, 0.5) C-10"
72347.47702789307,71763.3313369751,71604.52053833008,71907.38983154297,71346.65743255615,71692.33973693848,72175.50691986084,71741.72074127197,72126.2406539917,71770.07874298096
50410.9236831665,50374.61534118652,49520.92662811279,49651.05632019043,49526.865940094,49879.47060394287,50354.336769104,49949.29690170288,49780.203647613525,50143.46250915527
40680.07558822632,41006.55432891846,40302.73325347901,39942.18177032471,40451.26619338989,40801.450202941895,40865.11050796509,40414.019718170166,40520.939712524414,41038.401889801025
33910.655364990234,34217.9806060791,33854.53660583496,33727.75932312012,33897.25608634949,34143.60840988159,34352.090198516846,34167.09217453003,34172.44047164917,34281.28162765503
28420.90202140808,28953.936595916748,28718.955295562744,28452.55469322205,28605.25776672364,28738.24933624268,28946.46441268921,28701.68393707276,28769.947761535645,28870.004487991333
23736.511428833008,24335.80760383606,23873.4043636322,23860.480541229248,23835.849100112915,24051.06004333496,24159.054277420044,24091.48266029358,24164.45227432251,24478.254051208496
19678.8028421402,19858.840364456177,19902.212392807007,19555.210947990417,19420.51793289185,19949.448934555054,19683.598875045776,20140.21489715576,19923.16118335724,19914.40589904785
15646.51300907135,16059.437923431396,15853.671703338625,15337.496924877169,15853.218307495115,16416.253890514374,15972.696486473083,15934.412256240845,15726.759858131409,16097.680646896362
12465.918267726898,12789.855676174164,12396.434727668762,12490.973155498505,12589.684344291689,12576.993149280548,12772.964735984802,12728.420897006989,12412.297262191772,12920.91110944748
10060.832889556885,10311.875792980194,10069.909368991852,9719.30913734436,9926.489300727844,10357.883866786957,9830.478630065918,10019.275643348694,10368.956163406372,10312.037835121155
8163.049790143967,8182.813782215118,8008.850235700607,8212.265263557434,8361.395112276077,8010.316928386688,8351.742129564285,8358.773000240326,8442.356123685837,7817.176840543747
6952.130435466766,7122.042181253433,6879.052850723267,6654.969490766525,6725.2448880672455,7413.3485605716705,6821.442399978638,6884.486364841461,6885.994267702103,7238.288640260696
5746.852959275246,6008.394320964813,5843.965745925903,5933.791586756706,5971.191338181496,5791.722347736359,5730.979024291039,5911.419054269791,5976.922314763069,5955.017107129097
5149.877236306667,5297.5931169986725,5050.423890948296,5275.109747767448,4888.649485588074,5354.324979543686,5085.640426397324,5318.279165506363,5116.871731162071,5274.74624222517
4319.92041862011,4971.446719765663,4791.443413972855,4658.799598157406,4746.399393439293,4924.4118475914,5152.305302858353,4670.469505369663,4700.971538543701,4713.32014799118
4356.682621836662,4195.9401342868805,4345.649288892746,4269.071630239487,4083.45284897089,4277.861317038536,4318.102731466293,4293.246340095997,4280.525679469109,4301.287615537643
3822.1271343827248,4324.524519234896,3860.692490518093,3866.79272043705,4258.955366611481,3922.213296532631,3743.47884196043,4136.149988532066,3860.254942476749,3731.5004056692123
3600.0557727217674,3618.024124860764,3567.0221156179905,3563.628806143999,3754.419158488512,3616.637799680233,3777.475163042545,4014.174027055502,3804.393928259611,3677.939434349537
3576.96481192112,3536.045024871826,3513.4209990799427,3306.367267549038,3583.8858340978622,3581.5919475853443,3294.126093119383,3345.452323138714,3458.155988097191,3537.097031503916
3056.832246631384,3201.17456522584,3466.7731132507324,3254.9966376125813,3194.142120331526,3176.886871933937,3655.007198870182,3156.9922516942024,3170.6307694017887,3289.7565813958645
3185.523246616125,3340.685882359743,2845.173105120659,2976.50591814518,3030.236246332526,3353.0930489599705,3361.6218632757664,2879.049650102854,3062.190682530403,3132.474834024906
2941.1428206264973,3346.544933766126,3044.7089890241623,3017.996691018343,2879.430763244629,2590.750390991569,2499.737987577915,3063.0215523839,3056.2367405593395,2707.688449680805
2639.5669129937887,2567.435525327921,2573.597193658352,2890.7532189190388,2792.7192690074444,3058.926960647106,2693.811127960682,2689.903985977173,2761.603788048029,2818.929543107748
2625.896427571773,2662.3367517590523,2688.705060020089,2634.407198727131,2629.1956855505705,2774.7413436472416,3470.949580281973,2559.142868474126,2496.6228825747967,3259.1090348660946
2557.374491125345,2508.411533743143,2635.584263637662,2483.835628569126,2818.728391736746,2307.3945579230785,2421.7482252568007,2587.3507621884346,2528.551119484008,2230.021512553096
