"(0.001, 5, 0.9) C-1","(0.001, 5, 0.9) C-2","(0.001, 5, 0.9) C-3","(0.001, 5, 0.9) C-4","(0.001, 5, 0.9) C-5","(0.001, 5, 0.9) C-6","(0.001, 5, 0.9) C-7","(0.001, 5, 0.9) C-8","(0.001, 5, 0.9) C-9","(0.001, 5, 0.9) C-10"
67603.0256729126,67818.32717895508,67980.3459777832,67708.28249359131,68341.77286529541,67493.91912078857,67772.36826324463,68273.59590148926,67664.03852081299,66976.72763061523
58982.45642852783,56727.07104492188,55026.3748664856,56138.875717163086,56358.25870513916,54896.19509124756,55999.16624450684,55479.22038269043,55602.57861328125,55656.068939208984
51500.33140563965,50378.02020263672,49600.78615188599,50079.81008529663,52104.305404663086,50153.89292907715,50479.62633132935,51592.0669631958,49339.10623550415,50546.054679870605
47807.97001647949,48008.65390777588,46018.32474899292,47255.31643295288,47949.658920288086,45878.950954437256,48259.28754806519,46939.38914871216,45100.8907661438,46946.73282623291
45308.42484283447,44383.64887237549,44446.84506988525,45308.24030685425,46117.02994918823,44758.52335357666,45562.85656356812,44019.39609146118,44820.3634185791,44460.586444854736
41872.74031066895,45226.57069396973,41359.16569137573,44631.13391113281,43313.51933670044,42805.26720428467,42732.81785964966,41508.69743728638,39771.128284454346,44199.67184829712
39399.70707702637,39442.351417541504,40537.73602676392,44342.52764892578,41718.88480377197,41844.52099990845,39703.64324569702,41882.62406539917,37017.29847335816,48884.740814208984
38377.56557846069,37552.22758483887,39172.85679626465,40252.38153839111,37636.36657714844,51244.55241394043,38183.32425308228,37762.942390441895,34591.58529663086,42574.2177734375
44447.84434509277,37022.71918106079,46961.20919418335,38757.50734329224,35103.71375656128,45524.57679748535,39252.27334976196,42150.31887817383,33478.51530838013,46428.339000701904
38693.51251602173,39979.30349731445,43389.09364318848,39275.299434661865,34039.316509246826,41969.26760864258,34641.18756484985,35631.95832443237,32882.55347061157,38191.165058135986
40543.29113769531,46632.400287628174,47088.18852996826,42387.38038635254,32195.74576950073,38644.72597122192,36966.463050842285,58236.60387802124,30744.33468055725,42556.999603271484
34350.43956756592,41901.787857055664,47949.9415473938,32840.35580062866,31018.962463378903,35850.08023071289,30473.175128936768,35905.25926208496,29024.274620056152,38146.25827026367
36114.43181991577,47287.93210601807,37366.71290206909,32724.7848815918,31198.770259857178,32292.162059783936,33315.808588027954,43489.93031311035,27619.18758201599,37311.05093002319
48952.558811187744,37409.19725036621,37404.858070373535,37357.56203651428,31503.09950256348,30990.55234146118,45918.72898864746,39754.07290267944,32857.06177520752,36035.852893829346
44994.11585235596,34002.5627746582,31908.080671310425,36227.76351547241,30195.870601654053,28499.96928024292,47487.54357147217,41522.5311832428,27181.62961006165,31315.101022720337
37897.32136917114,34209.689990997314,30937.91273498535,31985.27535820008,32873.30525779724,28096.53621673584,39611.217821121216,36810.18479156494,28682.777284622192,29458.59394645691
38453.52193069458,32198.04603767395,28700.253982543945,35038.02153015137,31981.42855644226,25885.493030548096,41130.9001159668,33666.773973464966,23302.985109329224,28332.766180038452
37794.57750701904,28935.21888923645,26434.81492996216,32524.68574333191,32943.318479537964,30069.910837173466,31056.23768043518,31883.397415161133,32449.277351379395,25974.842485427856
31434.777353286743,26273.78475189209,25042.1181640625,29578.77442932129,32515.266220092773,24975.429832458496,28026.91579246521,27411.191804885864,28655.26344680786,24172.19278717041
28737.423610687256,24370.97810935974,22881.118955612183,27538.79678535461,25247.36388587952,28589.5364818573,35381.08726119995,27425.479833602905,37619.23418045044,23843.872898101807
26862.324396133423,22992.034982681274,21959.250108718872,25174.97753334045,23996.183219909668,28617.63850402832,28205.19298362732,24640.281372070312,37566.46249580383,23686.388288497925
24660.95854949951,21779.759214401245,21983.627287864685,23843.3805809021,25963.45785713196,26545.62561607361,26773.26672554016,23156.382984161377,26959.98659324646,21048.515796661377
22521.48055267334,21279.30473613739,20904.03737926483,21902.05243301392,22127.53527450561,22957.86541557312,28593.835748672485,22501.93517875672,23393.50500869751,23161.47735977173
20895.080280303955,19393.640063285828,18616.455567359924,21888.6481552124,22072.07608604431,19830.75141048432,27412.659158706665,20466.41691970825,23851.43065834045,19804.322536468506
20382.993829727173,18929.818278312683,18824.3693819046,20622.695768356323,24229.356825828552,21607.09359931945,22595.20981788636,20050.84569740296,24604.84866142273,20848.65762424469
