"(0.003, 5, 0.75) C-1","(0.003, 5, 0.75) C-2","(0.003, 5, 0.75) C-3","(0.003, 5, 0.75) C-4","(0.003, 5, 0.75) C-5","(0.003, 5, 0.75) C-6","(0.003, 5, 0.75) C-7","(0.003, 5, 0.75) C-8","(0.003, 5, 0.75) C-9","(0.003, 5, 0.75) C-10"
103612.9674987793,99369.55792236328,97367.54447174072,100059.31272125244,93894.2815322876,96380.45327758788,93913.24475097656,98901.22286224364,103301.78608703612,95432.33699798584
72382.43947601318,64009.61999511719,65546.49745178223,69350.45471191406,64610.56830596924,63043.23044586182,62406.49319458008,66960.42250823975,64750.1268081665,62057.334548950195
55150.60147094727,52514.74685668945,50125.04814910889,52907.38582229614,49689.85007858277,51154.39220046997,47912.43492126465,50597.15280151367,51245.9469833374,47833.38730239868
46420.56622695923,42662.27186584473,40987.10352706909,43692.31951904297,40109.1657371521,41776.97109222412,40330.69013977051,44752.7107963562,42371.02586746216,39903.96510696411
39934.47848510742,36414.22624969482,35747.766704559326,37606.23864746094,34361.57035827637,35291.8867149353,33731.23449707031,36427.576709747314,35710.83248138428,33658.12927246094
34712.643421173096,30408.292846679688,29211.932510375977,32049.19324874878,28660.294898986816,29930.845584869385,28693.90935134888,31176.08395767212,30096.45953941345,27941.18661880493
29612.755432128903,25186.00060081482,24492.91612052917,26885.43490219116,23559.15549850464,25461.7175693512,23889.34456253052,26325.569080352783,25139.93502807617,23804.019868850708
25357.106300354004,21140.43386554718,20521.09135246277,22615.90234184265,19571.13229084015,21085.767156600952,20006.29127597809,21891.19303894043,21029.860500335693,19597.13874912262
21200.724962234497,17547.04890727997,16778.0782995224,18957.760078430176,15954.83026599884,17767.770349502563,16139.848808765411,18284.34242248535,17429.825091362,16093.41665649414
17853.016493797302,14455.092072486876,14034.711639881134,15694.887939453123,13021.437606334686,14579.28668308258,13151.935985088348,15123.00298023224,14199.693506240845,13062.350724697113
15114.630306243896,11322.321224689484,11293.594367027285,12731.31567144394,10869.24791622162,12212.72894859314,11240.278720855713,12568.334756851196,11843.339551448822,10448.589438915253
12519.828137397766,9578.620958328249,9202.279470443726,10613.641763448715,8958.36844921112,10261.550533771517,9084.101555347444,10651.172231197355,9700.64896774292,9025.87999677658
10612.637961864471,7948.587157011032,7863.134026288986,8620.453993558884,7593.091441869736,8156.255014657974,8264.018469810486,8732.36229467392,7954.357845067978,7888.732809782028
8964.315289497375,6501.317271232605,7432.7626004219055,7342.161114215851,6217.299079656601,7167.000004768372,6025.986792087555,7317.415282607079,6695.023463964462,5856.94607925415
7739.462280988693,5788.488789916039,6033.479071140289,6588.70071220398,5584.709065675736,6138.2613270282745,5810.929667115212,6132.347485542297,5947.063998699188,5862.190856933594
6746.366671562195,5113.5594445467,5047.990901827812,5353.767677128315,4746.0416795015335,5369.373483419418,5144.883740544319,5442.76083189249,5377.231372594833,4410.572948336601
5786.673034667969,4420.285272657871,4701.216669201851,4894.3741718530655,4816.022804200649,4633.385568380356,4694.231376051903,4901.051326036453,4476.079072833061,4204.355436980724
5370.6293778419495,3762.645921170712,3788.7206997573376,4152.5701550245285,3689.882189631462,4612.725764155388,3617.87289917469,4186.275447696447,3895.1347474455833,3762.6850928366184
4575.45773434639,3634.7132027447215,3707.0568765699854,3918.91691249609,3376.524661362171,3645.210286319256,3854.730282306671,3772.137909591198,3618.7885095477104,3579.5894144773483
4242.446498990059,3101.151387423277,3264.176237910986,3869.541023761034,3152.303076326847,3212.963649332524,2815.283215031028,3319.366144329309,2846.191939473152,2865.770813807845
3454.709845364094,2691.87691052258,3025.460682064295,2719.6390235722065,2816.945915579796,3117.247811049223,2750.6275345385075,3131.0981283187866,3121.156552493572,2724.8612843751907
3259.390056967736,2664.5895219147205,2867.6405800282955,3011.539556756616,2610.4315183460712,2855.2351720780134,2608.591735288501,2927.190253585577,2467.412014439702,2294.4201795980334
2989.086363762617,2410.947397351265,2640.805707380176,2448.879675522446,2470.9080938994884,2733.2024907767773,2391.297888621688,2726.1571990847588,2403.213328897953,2113.266624376178
2771.2587058246136,2037.5420433804395,2159.5243024528027,2208.836508616805,2213.739517256617,2335.12725648284,2309.686976492405,2630.3674034923315,2293.0590693056583,2177.6775000691414
2801.722632020712,2361.957595348358,2140.8217864856124,2416.903755441308,2376.5946723371744,2304.9471606761217,2232.4099082946777,2318.0401872247458,1938.83840450272,2217.0448087900877
