"(0.001, 5, 0.75) C-1","(0.001, 5, 0.75) C-2","(0.001, 5, 0.75) C-3","(0.001, 5, 0.75) C-4","(0.001, 5, 0.75) C-5","(0.001, 5, 0.75) C-6","(0.001, 5, 0.75) C-7","(0.001, 5, 0.75) C-8","(0.001, 5, 0.75) C-9","(0.001, 5, 0.75) C-10"
104570.88339996338,105519.82222747804,101515.70516204834,103715.60229492188,104632.83031463625,102893.10515594482,106579.60105133057,104948.42583465576,101834.6724319458,103765.60834503174
66281.80913543701,66797.6155166626,65087.49600982666,66276.88121032715,66285.10330200195,64886.03521728516,66790.70071411133,66600.52014923096,65274.95960998535,65802.13580322266
54274.6901473999,54806.36563873291,53645.86808776856,53912.57768249512,54302.87753295898,52785.48397064209,53866.30975341797,54166.78302001953,53466.3865814209,53472.84954071045
45912.28425979614,46468.90645980835,45157.87873840332,45512.66037750244,45488.26380538941,44608.17496109009,46417.85786056519,45717.811294555664,45675.75704193115,45143.14098739624
38937.96300506592,40028.85562133789,38590.147300720215,39079.56636810303,38795.92426300049,38547.87894058228,39654.12752151489,39331.88413619995,38715.8528251648,38737.40267562866
33811.46227645874,34166.62732696533,33247.292446136475,33583.72763824463,33049.99295806885,33097.24514770508,34210.03099441528,33567.63394165039,33204.6111907959,33159.253299713135
28543.61813545227,29324.91663742065,28099.06974029541,28545.045705795288,28294.005338668823,28868.95304870605,29535.00256347656,29053.82370376587,28536.26428413391,28504.89740371704
24409.50951766968,24861.692470550537,24099.038276672363,24559.38701820373,24161.60320854187,23884.376569747925,25065.014875411987,24719.26533317566,23887.478816986084,23983.64933204651
20126.490661621094,20728.50256156921,19763.64915466309,20570.81624507904,20061.08476448059,20299.57944202423,21151.30060195923,20600.387857437134,20386.221739768986,20139.9061460495
16907.393503189087,17778.37133026123,16797.010375976562,16958.156730651855,16698.709421157837,16631.497572898865,17680.456023216248,17081.47886657715,16541.01097202301,16475.428360939026
14162.34553527832,14630.819689750671,13582.538003921509,13893.978174209597,13423.93463230133,13974.230662345886,14544.39689064026,14389.097747802734,13857.510481834412,13381.559829235077
11352.04286813736,12074.253425121307,11098.682958126068,11572.884484291077,11183.04248571396,11429.739881038666,12576.959693908691,11628.619870185852,11367.8206949234,11019.132001876831
9652.280879974363,10136.398846149445,9083.683182001114,10091.832811832428,9204.50691652298,9330.098493099213,10656.757200241089,9543.17322587967,9153.716875553131,9195.601115465164
7842.355864524841,8834.441351175308,7733.0913438797,8469.008647680283,7380.648988008499,7784.821051359177,8756.857698917389,8401.097658872604,7654.6524493694305,8202.397926568985
6728.541858434677,7068.023397088051,6623.265693664551,6879.728105545044,6262.316008687019,6644.252977132797,7158.815632104874,6757.18474149704,6730.914262533188,6388.7626786231995
5557.221518158913,6155.639523148537,5678.015502810478,5612.36909365654,5740.525690197945,5690.539982557297,5913.631983280182,5459.397199392319,5315.480872869492,5091.489760518074
4757.648142695427,4858.454153180122,4749.462385058403,4727.484511613846,4857.496685743332,4972.615196347237,5073.1087074279785,4920.487893342972,5181.533085107803,4543.916172623634
3873.777308821678,4623.129029929638,4095.930420577526,3970.14262098074,4026.819059073925,4497.935893654823,5160.614961981773,3960.504494905472,4165.06527030468,4034.2107687592506
3638.0230016112328,3758.223571658136,3629.6890138983727,3519.2058439850807,3341.110884785652,3435.6993631124496,4386.45851713419,4018.90545424819,3684.5308307409286,3396.6690541803837
2986.8822699189186,3788.7374151349054,3332.799163520336,3277.134605497122,3056.279304653406,3517.680157035589,3430.789827823639,3077.393527895212,3074.0300221443176,2626.1071683764458
3057.5218244493008,2882.465476199985,2645.241561859846,3249.0608310103416,2698.7564955353737,2541.686121106148,2961.1699511408806,2561.931613266468,3009.58709910512,2263.5394372195005
2674.744336754084,3201.887025088072,2698.7239879071712,2742.3695234656334,2724.693368554116,2726.446907967329,2957.2930405139923,2188.2588392347097,2225.2415357232094,2996.2669718563557
2028.7015515565872,2097.0285784751177,2187.364075958729,2175.594469577074,2392.70571321249,2211.4769091904163,2070.385426044464,2590.117332294584,2670.286308988929,2370.224038362503
1865.6969872415063,2319.7966818511486,2211.709446772933,2427.510429739952,1898.1517430394888,1590.5596882402897,2345.003431379795,2251.322648689151,2271.0150661692023,2111.5607193410397
1667.7160080969334,2341.570799484849,1845.2019112110136,1922.373130172491,1665.9214142039418,2202.314827285707,2203.633160844445,1314.162129767239,1502.0151596814394,1755.8878746852279
