"(0.003, 10, 0.9) C-1","(0.003, 10, 0.9) C-2","(0.003, 10, 0.9) C-3","(0.003, 10, 0.9) C-4","(0.003, 10, 0.9) C-5","(0.003, 10, 0.9) C-6","(0.003, 10, 0.9) C-7","(0.003, 10, 0.9) C-8","(0.003, 10, 0.9) C-9","(0.003, 10, 0.9) C-10"
95717.8836288452,104304.46644592284,96422.28015899658,101439.9380645752,98356.9171447754,99140.04969024658,99919.39019012453,97280.85374450684,93946.39323425292,100009.05848693848
59793.40246582031,64011.56243896485,60123.61819458008,61760.13725280762,61454.05976867676,60434.82124328613,61641.51086425781,58135.5111694336,58417.93453216553,61768.53659820557
47410.89524078369,52088.767486572266,48515.243240356445,49819.62251281738,49557.75623321533,47488.06213378906,49095.26390075684,45871.27480316162,46512.06266784668,49906.3190612793
39619.172760009766,43408.094524383545,40928.85718154907,41661.78514099121,40736.52049255371,39671.690757751465,41095.501537323,38325.056884765625,39136.86205291748,41842.08277130127
33420.30834579468,36610.324142456055,34664.47964096069,35814.83612060547,34446.68452453613,33362.10891342163,34385.971015930176,32055.10500717163,32975.30514907837,35368.59670639038
28488.56847763061,31103.761863708496,29312.719470977783,30393.80389022827,28807.0770778656,28058.15860939026,29098.55376815796,26960.594329833984,27479.360361099243,30116.987495422363
23408.989290237427,26071.67997932434,24476.810342788696,24936.73456764221,24059.23123550415,23369.27948951721,24427.534315109253,22125.68181419373,22768.02904510498,25242.49982070923
19251.64546775818,22123.97774124145,20362.758281707764,21227.643306732178,19974.92347145081,18984.607672691345,20278.48694038391,18371.56231307984,18584.06545066833,20772.150453567505
15630.09362411499,17917.562839508057,16876.254181861877,17201.59331893921,16156.43480682373,15309.800594329834,16619.167799949646,15020.70394897461,15186.88649749756,17319.820469856262
13038.40516281128,15162.547646522522,13834.887833595276,14215.642113685608,13026.760634422302,12563.652025222778,13311.46380329132,12194.973013877869,12236.897143363953,13993.891017913818
10574.839832782744,12212.76342201233,11275.08537721634,11705.712166309357,10807.025777816772,10147.527557849884,10789.732773780825,10096.242535591124,10060.796991825104,11307.147970199585
8700.63181257248,10409.922013282776,9588.982681751251,9512.599545955658,8684.345887899399,8340.609337091446,9053.327382564545,8037.894257307053,8292.314260721207,9320.187056064606
6941.756618738174,8364.907818317413,7737.273382663727,7927.667445898056,7365.949016332626,6837.487685680389,7417.966784000397,6553.145191907883,6663.189670562744,7663.285174608231
6035.953086793423,7501.448801755905,6740.750841617584,6285.146372795105,5927.09966647625,6066.935297012329,6266.569759607315,5709.390461206436,5929.565326333046,6223.538329839706
5043.95007109642,5875.440264463425,5515.928424239159,5791.23814702034,5322.324452996254,5188.863515734673,5199.909992933273,4981.327303767204,4832.134496927261,5519.3569531440735
4182.191991448402,5110.840949773788,4855.670716881752,4516.290930390358,4362.932469666004,4327.425765454769,4445.9783762693405,4084.8607991337776,4218.869611680508,4762.983246803284
3851.6965919733047,4470.188873410225,4012.452430069447,4162.944907546043,4027.623789489269,3890.66330486536,4276.635833203793,3691.854597747326,3756.9766166210175,4123.88263219595
3290.771538823843,4264.582487940788,3629.9159935712814,3483.988446891308,3391.754755616188,3130.398082226515,3216.641469359398,2901.360752671957,2963.1486728191376,3533.8309814333916
3010.1772967875004,3699.164904952049,3342.9391601085663,3577.5771911740303,3057.3687511086464,2873.6393913030624,2778.5747447907925,2963.062185794115,2750.907873928547,3148.927151978016
2883.049894452095,3407.3602618575096,2807.7992493510246,2850.996186345816,2904.9925077855587,2550.696311697364,2831.71723356843,2475.9636475145817,2427.4270978868008,2810.225450247526
2335.0899379849434,3001.568742930889,2754.9711190462112,2529.389074474573,2390.3529504537582,2327.781724154949,2456.512225985527,2453.137834623456,2143.0078939199448,2441.3406646996737
2077.9190346449614,2325.092668473721,2437.369728088379,2389.4972087442875,2168.208316758275,2271.118155822158,2272.184814274311,1717.0847668200731,2287.5742807388306,2228.6699387431145
1935.555983126164,2226.271189689636,2283.2471753060818,1942.7690979987383,2009.8992703258991,1811.4555145055056,2122.3774180859327,1681.7067581489682,1741.2323581427336,2207.200390174985
1845.900477208197,2087.226565979421,1770.8171734809875,1603.4998883008957,1853.956995159388,1856.0634273439648,1736.92146243155,1764.4766088202596,1852.8152722418308,1970.6512262821198
1496.2880958132446,1957.311387509108,1582.851986378431,1329.472643084824,1618.9894145280125,1975.7482410371304,1632.4797711074352,1562.6923990696669,1305.099809154868,1926.1987010538578
