"(0.001, 0, 0) C-1","(0.001, 0, 0) C-2","(0.001, 0, 0) C-3","(0.001, 0, 0) C-4","(0.001, 0, 0) C-5","(0.001, 0, 0) C-6","(0.001, 0, 0) C-7","(0.001, 0, 0) C-8","(0.001, 0, 0) C-9","(0.001, 0, 0) C-10"
83762.59200286865,83954.13108825684,83198.13325500488,83762.6517791748,83063.37353515625,82997.38259124756,82271.3070526123,82528.3352355957,84166.63073730469,83080.84058380127
55854.42330169678,55407.63624572754,54984.20526885986,55186.63387298584,54958.03507232666,54735.18995666504,53353.638595581055,54783.60878753662,54762.71914672852,54543.916412353516
44900.40879440308,44051.90579986572,44119.4882774353,44302.8592338562,43661.08963394165,43561.69102478027,42797.24440765381,44254.68007659912,43728.9570274353,43354.855796813965
36981.28286743164,36555.61033248901,36619.76539993286,36733.39722824097,35875.5908164978,36053.51366043091,35520.5657081604,36412.10861968994,35900.040451049805,36063.21320724487
30909.05710411072,29951.36092376709,30475.845180511475,30716.02908325196,29779.751277923584,30041.118743896484,29467.325607299805,30137.46936798096,29888.38522529602,29583.25193786621
25626.360496521,25044.9993019104,24901.64818954468,25188.337043762207,24415.670904159542,24525.795038223267,24273.15749168396,24686.872667312626,24501.227849960327,24616.847146987915
21074.34238052368,20381.92179203033,20555.22207736969,20410.57398033142,19728.70276069641,19933.46755027771,19805.897428512573,20141.817361831665,20030.695768356323,20056.17547225952
17004.006256103516,16038.443642616272,16650.210352897644,16902.029088020325,15973.036021232603,16144.775722503662,16233.49133682251,16110.816598892212,15817.886817932129,16648.523467063904
13615.688694953918,13439.58232975006,13382.641599178314,13558.069787025452,12868.896786689758,13063.646139144896,13135.2763504982,13153.98927116394,12824.241302490234,13336.973180770874
11387.305797576904,10932.770486354828,10511.53031206131,11361.472657203674,10260.356345176697,10616.03385591507,10630.132118225098,10882.827849388124,10553.319202423096,10710.812321662903
9360.795360565186,8924.335082530975,8659.328895568848,9041.116061210632,8603.562910318375,8446.516880512238,8745.780795574188,8734.11215543747,8579.940169334412,8685.70164012909
7404.880417823791,7234.464003801346,7715.872685670853,7574.520798921585,6872.713492631912,7137.502731323242,7067.889601230621,7298.374969959259,7026.071264743805,7272.621414899826
6374.39206635952,6286.392832994461,5935.193850517273,6324.919625520706,5942.268519878387,6161.467002987862,5993.757243156433,6032.219210624695,5954.877585053444,6192.23238670826
5136.040629506111,5111.487365245819,5081.157132387161,5504.338890790939,4942.344782710075,5040.61463201046,4921.220525860786,4984.225314617157,5126.905246496201,5551.80148601532
4653.701375603676,4467.826334059238,4376.724243581295,4388.348848760128,4662.302878022194,4443.652640581131,4385.476178705692,4469.475582957268,4181.231971740723,4297.605285406113
3929.8509299755096,4054.060347557068,3782.645858705044,3703.63820451498,3465.6856419444084,3908.2980210781097,3833.303644150496,3929.925227165222,3547.0548126995564,3640.9691628217697
3783.782328903675,3336.171120226383,3455.3095611333847,3189.775589168072,3244.4413323402405,3076.039447724819,3496.2020431756973,3318.270927518606,3254.741177916527,3296.0888456702232
3061.58556714654,3041.601412475109,3143.132671356201,3201.748905003071,2982.861006528139,2934.2876801490784,2917.6741666197777,3039.992346942425,3187.9073090553284,3268.9798424243927
2745.4461139440536,2650.527816146612,2582.0658295452595,2460.5893179774284,2539.550116956234,2806.43497005105,2575.34935605526,2871.563048094511,2308.1976623237133,2453.8001342713833
2476.6916564404964,2464.195027500391,2466.589656174183,2348.5028331130743,2068.283223927021,2573.513863384724,2515.654149353504,2536.719993278384,2532.2784790843725,2169.1995950341225
1954.246136143804,2000.2433288097384,2178.5762569904327,2158.2719796150923,2385.6741358339787,1965.7104159146547,1962.3384928405285,1947.0033090412617,1893.9207717776296,1999.8814606964588
1935.0642034262416,1864.584835246205,1690.6656493470073,2065.924302637577,1975.601926580072,2056.47530540824,1940.3027779608965,1582.137119576335,1714.0123394355178,2031.6210919320583
1754.4013022333384,1738.179960399866,1641.8467097133398,1878.8289159834385,1790.5644037351012,1680.515136808157,1648.954485043883,1760.1764489859345,1611.9870668053627,1717.0581480115652
2064.809602305293,1674.392636999488,1541.1167922839522,1493.115134894848,1519.3573866784573,1853.5935229212048,1353.8129964992404,2094.372851729393,1724.6606151759624,1736.8587760552764
1659.2376014068725,1343.9588194712996,1621.105857282877,1913.9743149131536,1684.171893939376,1385.7896941751242,1637.0383317917583,1527.291125897318,1474.7963407859206,1507.1533406749368
