"(0.001, 0, 0) C-1","(0.001, 0, 0) C-2","(0.001, 0, 0) C-3","(0.001, 0, 0) C-4","(0.001, 0, 0) C-5","(0.001, 0, 0) C-6","(0.001, 0, 0) C-7","(0.001, 0, 0) C-8","(0.001, 0, 0) C-9","(0.001, 0, 0) C-10"
101550.10774230956,100881.58737945557,102978.80058288574,102754.56035614014,100777.9273147583,103775.7148590088,102300.25826263428,103549.5739440918,101770.43697357178,101895.53854370117
78796.28140258789,77461.96654510498,79900.35202026367,79019.54969787598,76882.67072296143,81318.11520385742,79050.77347564697,80657.69297027588,80467.15370941162,77943.21524810791
70783.44490814209,70136.79251861572,71908.78081512451,70589.08181762695,70207.77574920654,72286.7409362793,70544.53081512451,72271.80791473389,71456.34979248047,70627.5135345459
66889.09156799316,67219.30997467041,67855.9144744873,67071.64340209961,66729.78450775146,68211.34450531006,67197.6540222168,68120.82357788086,67111.09371185303,67537.7862701416
64932.18717956543,64811.97588348389,65175.59590911865,65251.37144470215,65071.03248596192,65759.70095062256,65105.165283203125,65375.9774017334,64374.70191192627,65704.61943817139
62949.35079193115,63232.20174407959,63802.12991333008,63201.794830322266,62800.19484710693,63412.82883453369,63016.18823242188,63960.104820251465,62256.22427368164,64979.227111816406
61335.36757659912,62809.499282836914,62406.05880737305,61303.17378234863,61546.044578552246,61889.14966583252,62144.17111206055,61663.90969848633,61169.98432159424,63615.6213684082
60785.43382263184,61826.37467193604,61607.70211791992,60790.123764038086,60942.04290008545,60449.55832672119,61365.44186401367,61282.589126586914,59392.75880432129,61306.21124267578
59526.49629974365,60610.15399169922,60114.09665679932,59150.66925811768,59583.30730438232,59916.321853637695,60042.93186187744,59800.74973297119,59326.5145111084,60128.07856750488
58203.6403427124,59386.88854217529,59276.95329284668,57940.41133117676,58282.93939208984,58596.27847290039,59551.849533081055,58683.61028289795,57339.752265930176,58940.199798583984
58215.59375,59009.84009552002,58454.63457489014,57194.648178100586,57744.09627532959,56857.223136901855,58478.05084991455,57962.86003112793,56844.62094116211,57698.558586120605
57090.842849731445,58676.03872680664,57660.661209106445,56411.438552856445,56557.67936706543,56321.48188781738,57263.94621276856,56882.36973571777,55349.378005981445,56567.62177276611
