"(0.001, 0, 0) C-1","(0.001, 0, 0) C-2","(0.001, 0, 0) C-3","(0.001, 0, 0) C-4","(0.001, 0, 0) C-5","(0.001, 0, 0) C-6","(0.001, 0, 0) C-7","(0.001, 0, 0) C-8","(0.001, 0, 0) C-9","(0.001, 0, 0) C-10"
93700.53701019289,94599.42624664308,94805.59690856934,96755.8766937256,94530.82084655762,96345.19825744627,92866.45081329346,96538.29776763916,95534.05013275146,95157.57962799072
73175.0450668335,73377.75185394287,74580.35807800293,75694.00707244873,73818.1641921997,75086.89184570312,73035.33061218262,75038.86457824707,74706.3197555542,74866.0991973877
67315.25261688232,66321.82229614258,66996.56582641602,66985.50648498535,67612.42924499512,68267.23248291016,67232.79734802246,67185.1190109253,67930.77532196045,67685.39009094238
64270.238426208496,63323.21479797363,63361.5669631958,63985.83664703369,64305.51474761963,64629.80026245117,64687.08358764648,63778.474601745605,64725.36803436279,64089.4330368042
61944.08221435547,61951.32105255127,62230.87919616699,62226.92946624756,61636.98474884033,62645.12046813965,62804.31258392334,61810.21239471436,62870.22233581543,61933.09922027588
60337.366050720215,60114.05182647705,60330.40855407715,60295.63096618652,60391.49292755127,60699.14237976074,61101.446464538574,60664.9157333374,60864.94855499268,60013.06658935547
58114.939445495605,59059.05660247803,58670.4553527832,59103.34372711182,58986.78039550781,59211.865478515625,58770.89429473877,59278.41561889648,59043.61471557617,58857.25090789795
57308.69164276123,58202.6794128418,57168.15528869629,57952.97573852539,57408.03659820557,57940.72819519043,58389.620178222656,57637.64403533936,57885.52182006836,57499.474700927734
56118.45594787598,56812.92845916748,56036.35004425049,56701.75813293457,56129.6817779541,56313.79689025879,56549.79161071777,56946.97576904297,56549.80676269531,56088.79666900635
55484.0160446167,55373.05846405029,55247.97937011719,55487.75929260254,55119.22081756592,55958.87623596192,55405.32074737549,55226.38582611084,55004.44815826416,54976.14051818848
54693.298988342285,54942.946716308594,54683.89408874512,54451.61869049072,53708.67431640625,54673.70913696289,54401.766036987305,54693.50352478027,54282.21117019653,53989.68960571289
53027.13436126709,53795.17007446289,53101.32164764404,53479.18859100342,53022.13852310181,53700.71178436279,53784.79424285889,53412.423400878906,53197.91034698486,52347.32848358154
