"(0.01, 0, 0) C-1","(0.01, 0, 0) C-2","(0.01, 0, 0) C-3","(0.01, 0, 0) C-4","(0.01, 0, 0) C-5","(0.01, 0, 0) C-6","(0.01, 0, 0) C-7","(0.01, 0, 0) C-8","(0.01, 0, 0) C-9","(0.01, 0, 0) C-10"
141651.51722717285,139435.59477233887,149380.18783569336,152899.1817932129,145011.7280883789,117626.46551513672,127729.54682159424,134806.5517578125,126104.72187805176,149807.42503356934
64871.20817184448,96566.74863433838,93956.4917755127,86917.03170776367,79372.96050262451,49083.49774169922,65132.19589996338,62418.63300323486,65454.047523498535,71604.36583328247
43041.659282684326,58930.951095581055,62729.40643310547,58938.10735702515,46333.7733001709,41407.104122161865,45034.83338546753,51255.785121917725,49632.80121231079,45340.51633453369
48731.48273086548,50898.24662399292,58729.83632278442,44436.82628631592,44090.10196304321,49601.854930877686,36083.47630119324,45599.39071083069,45005.5471496582,37630.60515022278
45460.13798522949,46393.16153717041,58420.05487823486,36094.1618270874,36274.52266693115,42674.05703353882,39182.561069488525,42203.68471908569,37385.06325149536,43561.358322143555
36916.61676025391,42096.48430252075,49346.512004852295,27807.30190849304,31701.188957214355,35301.774251937866,33980.6183013916,41412.51008605957,29930.643783569336,37524.518716812134
29900.752243041992,30960.06334877014,43464.353271484375,30002.315073013306,32710.499784469604,31352.70029258728,30038.956508636475,37336.14489364624,29356.78613090515,31828.686346054077
34826.13814544678,27565.429691314697,43339.83925628662,31477.35757446289,33342.58015060425,32247.94735336304,31377.899198532104,36797.633710861206,27421.907104492188,32392.30189704895
30918.54655647278,26073.433401107788,41822.04427528381,28625.84670066833,29006.14448928833,33244.040380477905,32342.38572883606,35186.64168167114,29798.239112854004,30839.589305877686
25633.98232269287,24805.08044242859,34945.429235458374,27121.85384941101,25037.649682998657,31199.17608451844,29623.61103439331,32080.556518554688,25465.177854537964,27655.717964172363
22601.462684631348,23617.31462097168,32545.73515319824,22677.567764282227,25247.423440933228,34153.55994606018,29549.78565979004,23521.03659057617,29565.53966712952,26714.39736366272
21466.183287620544,22495.9726305008,31920.20491027832,20011.80769920349,22335.9193725586,32799.96949195862,29769.152990341187,20213.44130897522,30284.167795181274,28126.581127166748
