"(0.001, 5, 0.9) C-1","(0.001, 5, 0.9) C-2","(0.001, 5, 0.9) C-3","(0.001, 5, 0.9) C-4","(0.001, 5, 0.9) C-5","(0.001, 5, 0.9) C-6","(0.001, 5, 0.9) C-7","(0.001, 5, 0.9) C-8","(0.001, 5, 0.9) C-9","(0.001, 5, 0.9) C-10"
93172.9891357422,94909.83726501463,93313.31488800047,94494.78569030762,95026.4705734253,94197.9253540039,95250.56465148926,93727.31369781494,95637.31760406494,96394.00157165527
77234.52793121338,78652.9658279419,77407.44203186035,79025.31352233887,78459.52027893066,78804.79190063477,78550.23175811768,78292.38359069824,79329.36299133301,79211.85935211182
72117.9546661377,73436.01466369629,72565.92420196533,73373.6587677002,73494.27693939209,73655.52535247803,73155.20890045166,72909.77124786377,73449.98400878906,73360.90497589111
68626.78154754639,68860.69720458984,68769.65335083008,70241.70109558105,70024.43290710449,70411.8585357666,69727.22386169434,69404.33721923828,69828.21360778809,68555.70532989502
64648.70500946045,65082.956382751465,65693.31221008301,66934.84536743164,67787.8066482544,67096.09688568115,66658.01779937744,66241.8483581543,66849.1395111084,65638.6690750122
62207.196685791016,60419.60997772217,63155.40684509277,62778.29316711426,64577.72918701172,63289.7257232666,64804.32850646973,62564.967681884766,64876.60861206055,62469.52173614502
59300.86491394043,56999.71471405029,61180.0987701416,60014.69132232666,62077.48931121826,60254.595138549805,62546.743659973145,59043.27590179443,62274.53142547608,59446.533462524414
57222.30659484863,54131.91147232056,58861.1806640625,57687.420906066895,59958.19877624512,57395.04090881348,60083.09851074219,56417.55706787109,60455.64998626709,57070.069091796875
55180.58451461792,51391.760887146,56607.94169616699,55794.531230926514,57715.14296722412,54639.53079223633,58365.5959854126,54327.27791595459,59338.40718841553,54754.81162261963
53438.69237518311,49787.589668273926,54340.79493331909,54356.01985168457,55962.51986694336,52806.89443588257,55692.21031188965,52651.924072265625,57587.73424530029,52761.02220535278
52591.201122283936,48158.28163909912,52402.47156524658,52550.24677658081,54888.93078994751,50897.80813598633,53184.35068511963,51612.69479751587,56645.8179397583,51095.25286102295
51204.30104446411,47001.72213745117,51127.47842788696,50916.05661010742,53601.17868804932,49127.18185424805,51758.39405059815,50642.59435653687,54851.10967636109,49938.46556472778
