"(0.0003, 10, 0.9) C-1","(0.0003, 10, 0.9) C-2","(0.0003, 10, 0.9) C-3","(0.0003, 10, 0.9) C-4","(0.0003, 10, 0.9) C-5","(0.0003, 10, 0.9) C-6","(0.0003, 10, 0.9) C-7","(0.0003, 10, 0.9) C-8","(0.0003, 10, 0.9) C-9","(0.0003, 10, 0.9) C-10"
98310.4979019165,98741.1581954956,100643.03085327148,99919.54634857178,98737.8884048462,98133.45120239258,97651.8947982788,100390.48179626463,97894.87019348145,95879.99367523193
84455.26792907715,85541.98453521729,85302.58986663818,86243.04873657227,85181.97146606445,84787.86852264404,86415.35020446777,86683.89682769775,86434.32186889648,88656.16361236572
78791.84730529785,80586.30790710449,78684.39043426514,81446.11682128906,82723.53140258789,79904.71751403809,82084.88692474365,81340.95027923584,78565.64642333984,83074.03647613525
75510.73952484131,75189.37999725342,77097.60370635986,76391.2745437622,77300.4495010376,76121.01999664307,77495.16241455078,77974.8258895874,76419.67403411865,79779.06764984131
72870.61949920654,72224.67510986328,71462.40084075928,73804.70764923096,74399.34944152832,73968.3157043457,74792.61768341064,75457.76820373535,73027.4549407959,75700.84826660156
70274.66311645508,69559.0202255249,70449.98006439209,70672.859375,71639.27028656006,72914.85898590088,72540.78855133057,72955.39487457275,70382.58843231201,73348.65744781494
70355.86057281494,67353.68486022949,66952.25373077393,71263.72521972656,70062.22621917725,69136.12282562256,69843.44449615479,70998.28524017334,68382.39217376709,70480.5998840332
67452.69367980957,65020.13516235352,65942.23014831543,67986.88772583008,69346.8101272583,66863.5562133789,68145.35431671143,69828.98747253418,65854.13020324707,68349.54853820801
65078.88916015625,63816.5305557251,64727.960220336914,66426.74802398682,67334.73166656494,65622.97587585449,66397.73210144043,68361.2753982544,64834.19592285156,67072.26425933838
65409.005111694336,61778.92133331299,62811.6194152832,65417.72068786621,65101.16906738281,64305.36562347412,65525.05744934082,66946.40633392334,63194.941833496094,65472.56855010986
65067.99919128418,60647.54273986816,60919.31629943848,63030.86239624024,67180.97038269043,62850.69570922852,63518.28151702881,65967.04504394531,62325.73934173584,63709.49745941162
61795.59353637695,59709.75563812256,60332.04027557373,62452.615493774414,64070.24478149414,61151.17711639404,63091.14804840088,64563.525077819824,59521.80415344238,62847.79416656494
