"(0.0001, 5, 0.9) C-1","(0.0001, 5, 0.9) C-2","(0.0001, 5, 0.9) C-3","(0.0001, 5, 0.9) C-4","(0.0001, 5, 0.9) C-5","(0.0001, 5, 0.9) C-6","(0.0001, 5, 0.9) C-7","(0.0001, 5, 0.9) C-8","(0.0001, 5, 0.9) C-9","(0.0001, 5, 0.9) C-10"
119843.00741577148,118975.87698364258,120397.9104156494,119238.86520385742,118532.37190246582,118789.74717712402,118677.71641540527,121037.62818908691,119754.91493225098,119284.72920227051
104558.2523651123,105026.38540649414,105638.1930847168,104634.77395629884,102634.61753845216,104945.93844604492,103038.05978393556,106623.15490722656,104374.92678833008,105062.79095458984
98266.53665161131,98192.02478027344,100305.75439453124,98277.93815612792,96866.64501953124,99465.19067382812,97381.8489074707,100665.82234191896,100375.1364593506,99229.6614074707
96781.9877166748,94232.78578186037,96360.59146118164,94640.31243133543,93653.07223510742,95387.29681396484,94185.56112670898,96845.5378112793,96185.01188659668,95347.06858825684
93249.84001159668,92534.42687225342,93239.28173065186,91923.14083862305,90497.30588531494,92260.71683502196,91682.40953063963,93833.09172821043,92863.79111480711,92082.42775726318
91124.0955581665,90675.85258483888,91234.12971496582,89815.82881164551,88366.85621643066,89908.23137664795,90511.8533859253,92277.8108139038,90291.2098312378,90588.27908325195
89443.70935821533,89773.3768157959,88836.76874542236,88185.83968353271,86623.4022140503,86906.57159423828,88488.63584136963,90626.9694519043,88312.33199310303,88792.77977752686
87419.50994873047,86615.93306732178,88087.21611022949,87151.60676574707,85319.77596282959,85153.07986450195,87470.5153503418,89469.58525085449,87132.6485671997,86936.5364074707
86347.2866897583,85154.5378112793,86475.11336517334,85420.87906646729,84144.29808044434,83495.04281616211,86043.85781097412,87031.01020812988,85639.52196502686,85404.70290374756
84650.97763824463,83983.45971679688,84623.38932037354,83233.92627716064,83902.97190093994,82308.4602432251,85113.32224273682,86793.74337768555,84095.54325866699,84689.03350830078
83572.27698516846,82017.31858062744,83362.48020935059,82521.78411865234,81960.276222229,79990.71954345703,83645.19493865967,84680.58815765381,83239.19458007812,82979.74060821533
82391.07273864746,81248.12895202637,82966.75548553467,81198.51747894287,80895.76280212402,77976.47457885742,82413.4719543457,84734.1259765625,81537.81719207764,81958.66664886475
