"(0.001, 5, 0.75) C-1","(0.001, 5, 0.75) C-2","(0.001, 5, 0.75) C-3","(0.001, 5, 0.75) C-4","(0.001, 5, 0.75) C-5","(0.001, 5, 0.75) C-6","(0.001, 5, 0.75) C-7","(0.001, 5, 0.75) C-8","(0.001, 5, 0.75) C-9","(0.001, 5, 0.75) C-10"
128609.41618347168,130364.73092651369,132684.54377746582,128818.01092529295,128383.92169189452,133288.1828918457,130726.49290466309,133911.9340209961,129672.65856933594,129039.52409362793
96411.4363861084,95920.81982421876,95986.52606964111,95144.03300476074,94926.867477417,96508.5067062378,95508.53451538086,96476.98703765868,96976.61601257324,94956.08665466309
87418.46305847168,87494.66672515869,87596.81686401367,86305.27334594727,86011.27159118652,88502.56296539307,87231.56131744385,87323.00450897217,87994.37287902832,85361.8429031372
81089.39656066895,81464.3265914917,81295.7945022583,80272.75461578369,79764.960105896,81903.96758270264,81118.64224243164,80804.15020751953,80954.11241149902,78102.89744567871
77053.02290344238,76494.54423522949,76875.56020355225,76565.78942871094,75227.64240264893,77597.68701171875,76875.4946975708,76922.04313659668,76248.6883468628,74024.04846954346
74257.41586303711,72896.72802734375,72959.84954071045,73125.27404022217,72819.7135848999,74750.70178985596,75374.50462341309,74102.49675750732,72548.86377716064,71311.68696594238
71430.92657470703,70730.65225219727,70447.2809753418,71523.55700683594,70488.52466583252,72350.19134521484,73100.47388458252,72044.89957427979,71102.85404205322,69599.00541687012
69879.3748626709,68846.11893463135,68563.41941070557,69855.84461212158,68984.75547027588,70304.48142242432,71216.60186004639,70688.34941864014,69478.91177368164,67402.00325012207
68199.87910461426,67804.45457458496,66899.1392211914,68973.53214263916,67966.11270904541,69277.81058502197,69090.99883270264,69468.99160003662,68229.56923675537,67027.56326293945
66873.08193206787,66594.92158508301,66048.84325408936,67732.50450134277,66354.86780548096,67608.56131744385,68468.38925933838,68987.90525054932,68055.24661254883,66571.16704559326
66358.19932556152,65741.35173797607,65088.67865753174,66644.11674499512,65452.94934844971,66649.71039581299,66334.79730987549,68007.37224578857,66603.18598937988,65804.6708908081
65055.672523498535,65522.352210998535,64087.788917541504,65567.68605804443,64895.42206573486,65971.83973693848,65611.58176422119,67303.05665588379,65911.26898956299,65205.5518951416
