"(0.001, 10, 0.9) C-1","(0.001, 10, 0.9) C-2","(0.001, 10, 0.9) C-3","(0.001, 10, 0.9) C-4","(0.001, 10, 0.9) C-5","(0.001, 10, 0.9) C-6","(0.001, 10, 0.9) C-7","(0.001, 10, 0.9) C-8","(0.001, 10, 0.9) C-9","(0.001, 10, 0.9) C-10"
111756.58682250977,111381.183303833,113631.31491088869,111106.92953491212,112140.89555358888,111806.41246032716,113624.7656173706,110156.66563415527,112527.79614257812,113196.71119689941
89985.72688293457,88092.01296234131,89880.64152526855,88318.44921875,90568.86650085448,89504.92568969727,90279.41472625732,88869.2318725586,89749.9351196289,90075.25148010254
82145.84132385254,79819.73613739014,81616.7246017456,80791.12463378906,82028.8155670166,80864.80535125732,81205.34328460693,82513.75298309326,80885.14486694336,82476.3889541626
76815.66152954102,73979.30694580078,76231.83541870117,76061.176612854,75537.5835571289,75035.46221160889,76372.40986633301,77533.21823883057,75114.86965942383,76259.12516021729
72344.16857910156,70674.52223968506,72117.61902618408,72336.8539352417,69986.70305633545,72597.8299407959,72174.16440582275,72953.62522888184,71223.0509185791,71834.79057312012
69537.82648468018,68521.42287445068,68635.08041381836,68955.00608062744,68028.95434570312,69483.78644561768,69233.92035675049,70119.34185791016,69107.45925140381,69054.93208312988
67709.46469116211,67849.48034667969,66306.61347198486,66984.43281555176,67001.03157806396,67759.35298919678,67101.36207580566,68159.0520401001,67437.39359283447,67078.45112609863
65484.36306762695,65838.00663757324,64895.39330291748,65101.79558563232,65028.38813018799,66834.38201141357,65493.40009307861,66772.92208862305,66034.18821716309,65152.42305755615
64004.749992370605,64716.74447631836,63188.541648864746,64310.26836395264,64323.43843078613,65782.23539733887,64113.27793884277,65570.11487579346,64557.3932723999,63512.166275024414
63128.08391571045,63956.41404724121,63147.42292022705,63254.60077667236,63793.65896606445,63860.35440826416,64054.31719207764,64183.85199737549,63742.984870910645,63011.070709228516
62262.35218811035,62851.37773132324,62268.38503265381,62206.09020233154,62429.48080444336,62897.63150024414,62973.80849456787,62758.04920959473,63332.91088104248,62179.91017150879
61215.266204833984,62356.402168273926,61402.25183868408,61669.478507995605,61743.21357727051,62069.31422424317,61464.70223236084,61678.511001586914,62566.01637268066,61703.74028015137
