"(0.0003, 0, 0) C-1","(0.0003, 0, 0) C-2","(0.0003, 0, 0) C-3","(0.0003, 0, 0) C-4","(0.0003, 0, 0) C-5","(0.0003, 0, 0) C-6","(0.0003, 0, 0) C-7","(0.0003, 0, 0) C-8","(0.0003, 0, 0) C-9","(0.0003, 0, 0) C-10"
123078.54064941406,121978.55009460448,122607.02424621582,121978.7670288086,122745.21856689452,121654.07609558104,121766.97695922852,122093.98457336426,121542.31553649902,122319.75492858887
105843.0145111084,105441.73086547852,106120.35083007812,105187.6537475586,106131.47441101074,105093.4994506836,105420.34471130373,105541.34638977052,105014.15327453612,105649.30940246582
97763.0345916748,97779.54963684082,97737.96195983888,97635.0597229004,98394.65258789062,97190.56437683104,98098.0249633789,97152.3726348877,97526.15913391112,97783.25666809082
92250.09420013428,92219.19747161864,92399.79498291016,92155.57991790771,92843.56943511964,91697.55661773682,92440.42848205566,91196.8854675293,91833.83389282228,91977.88975524902
88090.46446228027,87934.49375152588,88329.3378829956,87359.22052764893,88362.39279937744,87852.43949127197,87943.34035491943,86619.58489990234,87573.00001525879,87588.10272216797
84475.82445526123,84536.98331451416,85072.6644897461,84048.28688812256,84600.91767120361,84273.31021118164,84050.73235321045,83476.85297393799,84351.29905700684,83563.28842163086
81813.5551147461,81715.98821258545,82188.65414428711,80874.46991729736,81375.41303253174,81725.82940673828,81024.24047088623,80586.11237335205,81204.5902709961,80367.51103210449
79254.04962921143,79255.31072998047,79793.44840240479,78153.09963226318,78680.31126403809,79340.2791595459,78477.43181610107,77525.7251663208,79059.63590240479,77470.62022399902
76943.50759124756,77316.20527648926,77359.12490081787,76155.9157333374,76248.89207458496,77242.8962020874,75943.96611785889,74965.12129211426,77063.52693939209,75154.81777954102
75027.88883209229,75384.2769317627,75378.70303344727,73815.79908752441,73396.02568054199,75079.64091491699,73593.90665435791,72260.64286804199,74689.25239562988,72412.59496307373
73161.92556762695,73898.53231048584,73598.9796295166,71789.16777038574,71292.7133026123,73779.1118774414,71855.84288024902,70238.16282653809,73319.83867645264,70899.26277923584
71335.71084594727,71778.59526824951,71784.9744644165,70253.75818634033,68896.03944396973,72245.03019714355,70511.25877380371,67949.60468292236,71120.29762268066,68167.5668334961
