"(0.0003, 0, 0) C-1","(0.0003, 0, 0) C-2","(0.0003, 0, 0) C-3","(0.0003, 0, 0) C-4","(0.0003, 0, 0) C-5","(0.0003, 0, 0) C-6","(0.0003, 0, 0) C-7","(0.0003, 0, 0) C-8","(0.0003, 0, 0) C-9","(0.0003, 0, 0) C-10"
111256.88771057127,111697.81256103516,111482.35583496094,110678.82295227052,112077.0888671875,112944.75675964355,111846.85092163086,111842.72644042967,112093.7702331543,111092.97717285156
94700.92041015624,93938.3426208496,95103.9783859253,94209.8850402832,95026.89421081544,96076.80795288086,94633.2784805298,94844.05180358888,95051.24710083008,94378.8673248291
89177.37576293945,88645.09111022949,89508.7562789917,89046.40218353271,89524.56662750244,91124.22146606444,88499.0157546997,88997.38079071045,88275.57738494873,88394.17367553711
85651.15402984619,85001.0562210083,85910.30224609375,85486.70252990723,86270.70767974854,87599.85493469238,84947.25131988525,84672.5318145752,83215.0115814209,83880.79716491699
82914.09510803223,82705.02119445801,81995.6336593628,82669.2190246582,83583.05792236328,84532.58309936523,81444.58241271973,82545.32907867432,78969.52960968018,80863.59632110596
80800.67655181885,80675.3550567627,79970.76195526123,79896.63696289062,81298.53249359131,81658.58470916748,79656.00701904297,79739.39976501465,76749.55939483643,77694.0004196167
78626.33267211914,78066.76728057861,77645.3941040039,77782.0825958252,79185.83972930908,79108.96033477783,77737.56648254395,77734.81931304932,73635.43628692627,75332.85315704346
76572.4814453125,76151.14403533936,76488.89758300781,75435.64433288574,77400.75123596191,77218.60106658936,74915.26058959961,75665.44812774658,72072.66729736328,72720.20098114014
75093.01133728027,73827.39488983154,74965.76778411865,72694.08469390869,74774.70413970947,75063.848777771,73231.23783874512,72612.57987213135,70764.68423461914,71769.64123535156
73151.37654876709,72235.79776000977,73710.81488800049,70578.25203704834,73365.21154785156,72494.07302093506,71581.91860198975,71272.25381469727,69029.25367736816,70628.1598739624
71336.64483642578,70405.64083099365,72489.20365142822,70514.82523345947,72213.53572845459,70583.26075744629,70079.72560882568,70704.7730178833,68083.94370269775,69301.61846923828
69681.94390106201,68984.80847930908,71103.04155731201,68693.73301696777,69743.50394439697,68433.35018157959,68815.49607849121,69285.63105010986,67044.40462493896,68444.82036590576
