"(0.0003, 0, 0) C-1","(0.0003, 0, 0) C-2","(0.0003, 0, 0) C-3","(0.0003, 0, 0) C-4","(0.0003, 0, 0) C-5","(0.0003, 0, 0) C-6","(0.0003, 0, 0) C-7","(0.0003, 0, 0) C-8","(0.0003, 0, 0) C-9","(0.0003, 0, 0) C-10"
36639.62578582764,35667.05018615723,36506.27930641174,37468.33371925354,37255.628368377686,36517.84917449951,35952.38964653015,36047.17782402039,36823.63050460816,37841.57305908203
23045.08944892884,23083.042582511905,23132.77716255188,24510.435386657715,23696.95585823059,23312.96919631958,23082.182472229004,22868.75416183472,23497.40650558472,24256.835176467896
19631.05441570282,19575.04644012451,19484.09640312195,20735.939754486084,20051.531999588013,19851.972846984863,19825.41229057312,19550.87220191956,19973.07074928284,20656.851835250854
17526.289578437805,17584.488730430603,17326.62583065033,18448.040205955505,17716.965582847595,17866.811429977417,17646.07322216034,17540.677626609802,17915.370588302612,18389.07032585144
15931.445113182068,15952.785984039308,15750.059511184692,16638.856989860535,16104.043292045591,16111.66535949707,16036.76718902588,15913.37604522705,16253.958581924438,16581.945531845093
14606.018909454346,14656.19070148468,14252.421883583069,15303.653012275696,14678.446770191193,14745.74495792389,14507.16218662262,14497.464856624603,14917.091946601868,15186.222677230835
13278.39769411087,13250.863718986511,12931.58482837677,13886.569618225098,13381.520036697388,13461.80047750473,13273.670853614807,13224.328882694244,13537.81366443634,13821.019911766052
12132.042288780212,12049.740079402924,11805.93895149231,12688.00060081482,12139.349932193756,12272.077724933624,12013.285191059113,11969.736177921295,12472.055521011353,12711.362060546875
10895.74255990982,10851.915185928345,10709.591739177704,11627.7747297287,11146.60996723175,11050.504357814789,10688.21158695221,10696.809209823608,11335.963164806366,11438.613056659698
9775.496650457382,9727.372180461884,9388.614012241364,10390.156685352324,10115.526068210602,9859.68637752533,9566.479791879654,9582.91227388382,10037.085116386414,10181.348759174347
8589.442494869232,8642.89225077629,8360.837805986404,9239.32465815544,8964.4847946167,8828.936402320862,8460.201328277588,8483.287754297256,8957.738865852356,9089.55261850357
7715.510200977325,7482.229170322418,7296.492594957352,8235.342199802399,8106.516395807266,7798.668819904327,7430.831130504608,7526.26616191864,7964.658742189407,7970.122622013092
