"(0.0001, 0, 0) C-1","(0.0001, 0, 0) C-2","(0.0001, 0, 0) C-3","(0.0001, 0, 0) C-4","(0.0001, 0, 0) C-5","(0.0001, 0, 0) C-6","(0.0001, 0, 0) C-7","(0.0001, 0, 0) C-8","(0.0001, 0, 0) C-9","(0.0001, 0, 0) C-10"
40664.04440116882,41389.77104949951,41605.922718048096,41648.66162490845,40909.079833984375,41569.90333175659,40688.82867622376,40709.36214828491,41486.65246582031,41783.92348861694
28354.71908569336,28535.50123977661,28916.73038864136,28736.05973815918,28171.403408050537,28926.507957458496,28140.274375915527,28073.79486465454,28637.418027877808,29068.175676345825
24566.56403541565,24581.35722541809,24935.842050552368,24782.242433547974,24532.667722702023,24985.72318458557,24625.754432678223,24389.915174484253,24961.24628067017,25236.000896453857
22157.183710098267,22116.414045333862,22507.89122962952,22231.055669784542,22166.54139137268,22537.29169464112,22321.855054855347,22020.76415634156,22540.00227546692,22865.739128112793
20342.484912872314,20368.145930290226,20706.524289131165,20433.74441337585,20354.053985595703,20638.20415973664,20577.112604141235,20255.970542907715,20764.59744167328,21131.886812210083
18971.0789642334,19027.43049049377,19239.71653652191,19122.76412677765,18907.158349990845,19125.827507019043,19197.26073551178,18860.66395950317,19272.666912078857,19677.486763954163
17860.606742858887,17895.99248123169,18083.47800922393,18086.96403884888,17770.32730293274,17997.731751441956,18076.06708526612,17745.990524291992,18165.171075820923,18570.403616905212
16846.149850845337,16968.352207183838,17107.441793441772,17064.341515541077,16818.22497844696,17025.497101783752,17121.367058753967,16826.2417011261,17190.401993751526,17554.10422229767
16022.675430297852,16117.4591588974,16163.870334625244,16234.760998725891,16039.483054161072,16203.979858398438,16265.113215446472,16027.90212249756,16352.151233673096,16751.308318138123
15201.0552444458,15266.616556167604,15427.662672042848,15568.222801208496,15221.780660629272,15508.35943698883,15491.19046497345,15281.41187286377,15480.910205841064,15893.61341381073
14405.556979179382,14578.139826774595,14727.49483013153,14830.480039596558,14501.608830451964,14765.350887298584,14744.697110176086,14561.972806930542,14712.805965423584,15216.599033355713
13704.452511787416,13926.795337677002,14013.032601356506,14140.42557811737,13857.659043312073,14094.666257858276,14144.49757194519,13906.303492546082,14071.831930160522,14542.386540412903
