"(0.0003, 5, 0.5) C-1","(0.0003, 5, 0.5) C-2","(0.0003, 5, 0.5) C-3","(0.0003, 5, 0.5) C-4","(0.0003, 5, 0.5) C-5","(0.0003, 5, 0.5) C-6","(0.0003, 5, 0.5) C-7","(0.0003, 5, 0.5) C-8","(0.0003, 5, 0.5) C-9","(0.0003, 5, 0.5) C-10"
41865.04969406128,40766.92600250244,39918.55541229248,40084.53099822998,41795.51240348816,41072.94239807129,40924.510181427,39717.12421607971,41023.01190185547,41829.36962509155
27635.641492843628,27065.053926467896,26331.4480342865,26658.359672546387,27421.209630966187,27175.298978805546,27179.628177642822,26251.90308189392,27421.178941726685,27521.548112869263
23752.86689567566,23162.69669151306,22757.82148551941,22932.480907440186,23379.48021697998,23141.43884658813,23151.071531295776,22511.35711479187,23328.05166625977,23580.845399856567
21209.48613834381,20763.97176361084,20438.990029335026,20554.63405418396,21111.40549850464,20929.695021629333,20805.959115982056,20175.706659317017,20907.26924991608,21307.42179107666
19554.62270259857,19203.68732070923,18778.94386959076,18819.89454269409,19569.016936302185,19214.724999427795,19254.213225364685,18651.93930244445,19238.69580745697,19651.7760887146
18305.61019134521,17846.652194023132,17478.387917518616,17412.414353370667,18310.08256149292,17952.324800491333,17922.648319244385,17356.014099121094,17854.92878627777,18389.05626487732
17120.21587371826,16675.332268714905,16380.45118522644,16347.93186187744,17267.39437866211,16829.95845603943,16798.837237358093,16263.373615264893,16667.27910709381,17299.585414886475
16096.051239013672,15655.537526130676,15364.167103767397,15287.763299942017,16265.924897193909,15749.09087085724,15853.10528755188,15316.24132347107,15634.902611732485,16381.920708656311
15168.465207099916,14778.150033950806,14512.695237159727,14413.835315704346,15491.071202278135,14832.353337287905,14953.331923484802,14447.643627166748,14714.185647010803,15543.118898391724
14364.092621803284,13876.253244400024,13691.549335479736,13498.968319892883,14619.677676200869,14011.76195526123,14110.916028022766,13596.425132751465,13831.830048561096,14689.504270553589
13533.302063941956,13025.778960227966,12792.015298366548,12620.404050827026,13801.717427253723,13212.011552810667,13207.829368591309,12728.417005062103,12989.298903465273,13894.521842479706
12712.738958358765,12240.00858259201,11938.409724712372,11630.765794277191,12996.36660003662,12450.467916488647,12448.117666721344,11983.169063568115,12216.651787757874,13120.020923137665
