"(0.0003, 10, 0.9) C-1","(0.0003, 10, 0.9) C-2","(0.0003, 10, 0.9) C-3","(0.0003, 10, 0.9) C-4","(0.0003, 10, 0.9) C-5","(0.0003, 10, 0.9) C-6","(0.0003, 10, 0.9) C-7","(0.0003, 10, 0.9) C-8","(0.0003, 10, 0.9) C-9","(0.0003, 10, 0.9) C-10"
59995.893421173096,57656.10966873169,57384.9849281311,60347.60055541992,58615.595390319824,58699.65704345703,60164.70481109619,58830.2172203064,58521.33410644531,61903.27026748657
42201.20226669312,,39371.88898086548,35251.22727203369,35252.73314666748,34729.58483505249,35667.19152832031,40951.56188964844,36853.912965774536,36428.22102737427
32914.336893081665,,64871.80058288574,46962.32844734192,,32597.96770477295,80964.36419296265,,31512.30906867981,31124.935415267944
28931.53629684448,,33846.98475265503,,,,,,,
38263.81986427307,,,,,,,,,
25527.59541511536,,,,,,,,,
25269.65988922119,,,,,,,,,
22496.221517562863,,,,,,,,,
21398.91512298584,,,,,,,,,
20809.30974578857,,,,,,,,,
19740.60324192047,,,,,,,,,
21970.370699882507,,,,,,,,,
