"(0.001, 5, 0.5) C-1","(0.001, 5, 0.5) C-2","(0.001, 5, 0.5) C-3","(0.001, 5, 0.5) C-4","(0.001, 5, 0.5) C-5","(0.001, 5, 0.5) C-6","(0.001, 5, 0.5) C-7","(0.001, 5, 0.5) C-8","(0.001, 5, 0.5) C-9","(0.001, 5, 0.5) C-10"
59046.41798400879,60011.27780914307,58063.405643463135,61159.309436798096,58229.00045776367,57419.807056427,55877.55700683594,56035.621074676514,57451.64593887329,60023.42288970947
32322.051706314087,33118.4405670166,35648.30437278748,33864.18754768372,32355.909299850464,32189.27868461609,32495.05006408692,32152.00782394409,32001.285110473636,32510.869186401367
27412.68286705017,27554.648147583008,27725.090505599976,28252.690565109253,27241.82197761536,27227.9252319336,26946.52778816223,27066.61806678772,26735.825010299683,27341.93404006958
24426.781427383423,24618.03957748413,24326.962295532227,25209.091011047363,24172.65223693848,24160.63430213928,24148.309482574463,24193.498064041138,23643.51085472107,24240.005014419556
22428.764578819275,22741.099353790283,22171.524112701416,23246.72777748108,22209.70226573944,22155.23392677307,22251.89928340912,22371.678777694706,21788.07478904724,22186.867681503296
20930.53839302063,21078.29995727539,20628.661220550537,21675.801176071167,20846.03993988037,20513.868569374084,20693.77227020264,20891.178835868835,20269.187189102173,20779.011216163635
19717.69800186157,19950.227414131165,19619.74729347229,20395.609723091125,19735.822932243347,19469.912474632263,19523.07713603973,19759.78526687622,19202.190863609318,19631.019585609436
18842.19903182984,18987.982261657715,18639.170643806458,19403.544395446777,18658.94533252716,18527.68169498444,18580.768171310425,18787.36133670807,18243.95517921448,18716.0293674469
17875.41607093811,18018.645466804504,17753.046226501465,18492.188187599186,17886.63376235962,17571.27746772766,17776.329692840576,17836.785439491272,17381.06835460663,17887.521161079407
17228.981534957886,17365.24001121521,17084.975960731506,17645.328296661377,17122.07502555847,16926.6149225235,16973.913306236267,17168.254801750183,16579.968976020813,17098.680861473083
16408.137615203857,16558.489758491516,16379.227439880371,17002.4223985672,16350.763531684875,16189.4223613739,16364.538850784302,16413.001052856445,16048.992975234984,16524.882441997528
15783.656128883362,15907.28484916687,15597.1518201828,16298.462587356567,15714.611130714417,15535.18263721466,15664.616624832152,15664.99882698059,15308.471151351929,15790.276960372925
