"(0.001, 0, 0) C-1","(0.001, 0, 0) C-2","(0.001, 0, 0) C-3","(0.001, 0, 0) C-4","(0.001, 0, 0) C-5","(0.001, 0, 0) C-6","(0.001, 0, 0) C-7","(0.001, 0, 0) C-8","(0.001, 0, 0) C-9","(0.001, 0, 0) C-10"
48515.11345672608,45958.89206123352,47615.00445175171,47437.317110061646,48867.50012969971,49585.52435684204,51430.450439453125,47998.97713088989,47252.38045120239,52631.443714141846
26819.917387008667,25919.76286125183,27074.533866882324,27167.24485206604,27025.13781929016,26339.594818115234,27329.51252746582,26191.551332473755,26351.30347061157,26689.908407211304
22345.21531867981,21936.333610534668,22648.82941436768,22672.471954345703,22490.26633453369,22059.877855300903,23080.90696716309,22133.11777496338,22212.11016464233,22427.096334457397
20024.813034057617,19635.67641067505,20158.71637821197,20121.74249649048,20256.870810508728,19725.47599220276,20589.50783920288,20010.09668159485,19892.127088546757,20245.630491256714
18308.29126834869,18077.00921344757,18435.9724149704,18380.51231765747,18546.17182159424,18078.875232696533,18908.265224456787,18510.26994228363,18365.59643268585,18636.701825141907
16931.46827030182,16868.165227890015,17133.03526878357,17054.89553642273,17265.05350112915,16812.73496055603,17561.872864723206,17153.288393974304,17099.55931377411,17417.13896369934
15929.386331558228,15711.178015708923,15978.410422325134,15968.657178878784,15947.23748588562,15666.80345249176,16485.05358695984,16053.391788482666,16061.164642333984,16249.879085540771
14870.868745803831,14775.631088256836,14996.880955696106,15020.868766784668,15058.048451423643,14796.867758750916,15423.241073608398,15122.56733417511,15051.73837852478,15356.165395736694
14030.109177589417,13826.291312217712,14046.67875432968,14106.04707622528,14108.327255249023,13717.62276172638,14571.544994354248,14204.697138786316,14195.148513317108,14557.143126487732
13145.7545337677,13043.698896884918,13161.620839118958,13195.825446128843,13249.5484251976,12821.11480665207,13683.85101032257,13396.748045921326,13314.14299106598,13617.805010318756
12296.188086509705,12187.624185085297,12348.737675189972,12361.41650724411,12514.928653240204,12134.57168340683,12936.609866142271,12581.648832321169,12495.594070911407,12934.83166885376
11476.872514247894,11357.151614189148,11602.484501361849,11556.171173095703,11523.443049430847,11295.579420089722,12137.29698228836,11715.45049905777,11763.272304058077,12091.13595867157
