"(0.0003, 0, 0) C-1","(0.0003, 0, 0) C-2","(0.0003, 0, 0) C-3","(0.0003, 0, 0) C-4","(0.0003, 0, 0) C-5","(0.0003, 0, 0) C-6","(0.0003, 0, 0) C-7","(0.0003, 0, 0) C-8","(0.0003, 0, 0) C-9","(0.0003, 0, 0) C-10"
69959.796043396,70510.90013504028,70231.25503921509,71838.98612594604,69985.77460861206,69024.91402816772,69734.22066879272,70726.75923538208,70715.22940444946,70394.0754814148
33248.23248291016,33330.57216835022,32884.70557594299,34895.896560668945,33257.54420852661,32138.86506843567,32808.336530685425,33520.8658618927,34631.478494644165,33190.566614151
24702.392734527588,24248.032722473145,24084.32846069336,25657.06252861023,24107.39366912841,23256.404666900635,23923.544160842896,24556.5464668274,25665.15950584412,24457.94228744507
20293.04403781891,20252.0378074646,20164.777764320374,20955.85732269287,19856.83506011963,19251.71556854248,19625.590301513672,20232.383893966675,21373.60832977295,20408.572746276855
17910.219408988953,17622.15192604065,18011.54061603546,18200.74710559845,17121.172393798828,16968.034850120544,17168.678156852722,17658.591988563538,18379.189805984497,17837.046354293823
15819.472851753237,15927.005996704102,16156.31252193451,16357.981203079224,15456.157376289368,15266.905097961426,15298.85626411438,16156.245035171509,16639.8295545578,16053.810423851013
14568.156902313232,14734.771854400637,14876.12271308899,14940.90729045868,14145.490550994871,14033.28795146942,13910.615480422974,14845.815484046936,14997.44679260254,15022.843663692474
13264.694633960724,13561.54383468628,13890.996138572693,13989.086268901823,13241.400392532349,12930.274297714232,12939.972356319427,13774.707573413849,13661.113085746763,13693.189852714539
12213.236768245695,12561.72904586792,12876.99006652832,13010.98485660553,12419.976652622225,11906.190165042875,11750.098228931429,12889.168837070463,12671.379923820496,12794.323633670807
11358.234383106232,11687.23985528946,12191.345517158508,12281.466086387634,11665.703425884249,11056.46139717102,10781.688051700592,12055.322052955627,11894.289423942566,12001.325224399567
10576.632465362549,10999.687519311905,11393.800443172457,11768.982733249664,10873.35836172104,10389.998971939089,10017.252815246582,11406.39314508438,10950.532014369965,11346.29846906662
9919.164238452911,10115.70429611206,10712.167227745056,10966.068574428558,10266.970476865768,9601.457318782806,9321.866643428802,10683.133689403534,10279.813777923584,10653.943314552307
