"(0.0003, 0, 0) C-1","(0.0003, 0, 0) C-2","(0.0003, 0, 0) C-3","(0.0003, 0, 0) C-4","(0.0003, 0, 0) C-5","(0.0003, 0, 0) C-6","(0.0003, 0, 0) C-7","(0.0003, 0, 0) C-8","(0.0003, 0, 0) C-9","(0.0003, 0, 0) C-10"
64296.485427856445,63204.26264953613,66449.38502883911,63385.746059417725,62265.572872161865,62623.85021972656,64389.01265335083,63892.45460510254,64471.33548355103,62519.004539489746
29112.505224227905,28568.10590171814,30361.321348190308,29016.5408039093,27794.02250099182,28350.637281417847,30002.6426486969,28706.872163772583,29912.515298843384,28065.866249084473
20928.07355499268,20673.067539215088,21449.4247674942,20955.598417282104,20241.98574066162,20544.7168636322,22055.56376838684,20957.281014442444,21737.81782722473,20628.658000946045
17238.84448337555,17046.485604286194,17550.14167022705,17485.24988937378,16750.37929534912,17193.22807788849,18210.56639957428,17330.549221992493,17798.90763282776,17112.533182144165
15334.547012329102,15165.097012519836,15216.802616119385,15411.772807121277,14727.677668571472,14922.646265029907,15835.604055404665,15179.357769012451,15581.644026756288,15024.124836921692
13456.436927318571,13654.890864372252,13717.3043050766,13878.958268642426,13421.506344795229,13537.748748779297,14075.32556772232,13834.687294960022,14043.847606658936,13667.526404380798
12509.666288375854,12639.192997455595,12349.853681087494,12732.9453291893,12337.916300296783,12546.658240795135,12901.64821243286,12720.708145141602,12752.258450508118,12649.757151603699
11374.025458335876,11890.389286518095,11727.413167476654,11731.988879680634,11560.22446680069,11651.70930147171,11969.789138317108,11897.80456829071,11832.429791927338,11700.998079299927
10692.926433086395,11104.702580451964,10853.186378479004,10833.822290420532,10885.86399936676,11004.764354228972,11002.366141796112,11161.027153491974,11145.247128486631,11087.726895332336
9993.268731117249,10550.415636062622,10362.170620679855,10017.900846481323,10344.219329357147,10571.132488250732,10241.78800201416,10549.10946893692,10470.276351690292,10282.156919002533
9413.91991853714,9959.131082057953,9830.748196601868,9271.348256587982,9840.70997953415,10100.508512020113,9540.852106571198,10034.890127658844,9880.621697425842,9610.79454421997
8885.301255941391,9459.70424580574,9164.388452529907,8566.269606351852,9303.364799976349,9567.15842819214,8978.550169229507,9517.56517124176,9392.43630695343,9024.35290646553
