"(0.0001, 0, 0) C-1","(0.0001, 0, 0) C-2","(0.0001, 0, 0) C-3","(0.0001, 0, 0) C-4","(0.0001, 0, 0) C-5","(0.0001, 0, 0) C-6","(0.0001, 0, 0) C-7","(0.0001, 0, 0) C-8","(0.0001, 0, 0) C-9","(0.0001, 0, 0) C-10"
134649.2009124756,133642.06269836426,135642.1036682129,133974.58241271973,132147.2084350586,135449.04682922363,134248.40969848633,134947.73930358887,135616.37313842773,134869.66973876953
113246.02556610107,112522.77907562256,114644.40110778809,112996.19599914552,112589.81462097168,116281.0587310791,109429.11155700684,113872.4288406372,114909.6118850708,111851.53930664062
103240.61613464355,113542.48976135254,105077.44906616212,101639.67602539062,92289.82660675047,105340.17259216309,116258.24678039552,105154.09937286375,101180.83879089355,116633.24838256836
94901.25675964355,106955.6453857422,89650.67763519287,93969.58186340332,93893.27893829346,92545.48085784912,106899.31716156006,95829.35540771484,89217.23845672607,101239.00790405273
90907.79361724854,93097.19797515868,160454.28010559082,109402.77822875977,66963.75037765503,97204.2555999756,102879.72799682616,102116.30242919922,74033.24562072754,114998.64665985107
85621.92660522461,69808.51065063477,137642.94052124023,101592.97632598875,54770.639709472656,131536.41388702393,116331.04225158691,367345.9279785156,49085.605182647705,75686.97693634033
64802.255825042725,49266.89297103882,137402.80339050293,92233.95655059814,44178.355558395386,138831.71223449707,118052.44898986816,137489.25326538086,43000.70246124268,71878.36944961548
52162.09345626831,41461.34546661377,137228.01387023926,70018.79611206055,28886.38101387024,138266.57292175293,113826.73098754884,136832.65298461914,17429.62565422058,42603.902448654175
40378.80461502075,38283.97245025635,137079.1239013672,64424.39530181885,22756.515029907227,138148.07633972168,89194.71194458008,136518.36198425293,14657.20111656189,34694.50539398193
34621.05937767029,119680.11913871764,136916.1745147705,57027.7426071167,19430.01111793518,138055.54719543457,71390.21528625488,136344.23136901855,21430.482188224792,45846.4889125824
77367.94906616211,138866.18939208984,136766.65493774414,48146.60034561157,16524.53211927414,137952.01319885254,80350.66247940063,136263.73782348633,14161.662602424622,32459.495750427246
142801.19116210938,138416.7950744629,136642.6492767334,40267.71103668213,17673.445403575897,137876.0336151123,73831.16407775879,136188.8229675293,11181.552596092224,26410.236347198486
