"(0.001, 10, 0.5) C-1","(0.001, 10, 0.5) C-2","(0.001, 10, 0.5) C-3","(0.001, 10, 0.5) C-4","(0.001, 10, 0.5) C-5","(0.001, 10, 0.5) C-6","(0.001, 10, 0.5) C-7","(0.001, 10, 0.5) C-8","(0.001, 10, 0.5) C-9","(0.001, 10, 0.5) C-10"
62796.18756484985,63298.04389190674,62528.32187271118,63919.91319274902,64131.99812698364,64158.82890701294,64377.40839385986,63060.59848022461,63938.07691192627,64136.553928375244
29320.13300514221,29644.08708190918,29156.06446838379,30482.03560066223,30614.884496688843,31140.541303634644,30433.06709098816,30882.810510635376,29308.20552825928,30275.634494781494
22614.379526138306,22468.567954063416,22031.843397140503,22644.32900238037,22799.98187828064,23178.95304107666,23054.04833984375,23436.074728012085,22253.133684158325,22743.501876831055
19026.97330379486,18667.49335861206,18192.64014911652,18423.898825645447,18864.18272304535,19215.24108314514,18953.031352996823,19458.88637161255,18581.310353279117,18529.4885263443
16266.398613929749,16352.472723007202,15731.219849586489,15318.86904335022,16228.1132478714,16202.583178520204,16719.886973381042,16544.709378242493,16073.551293373108,15850.267708778381
14033.402457237244,14294.99455499649,13864.558686256409,13190.99107694626,13924.955402374268,13789.623804092407,14482.564087867737,14350.977516174316,14352.159784317017,13806.78557729721
12406.418563842772,12654.46969652176,12280.757405281069,11490.072357177734,12381.304823875427,12148.753687858582,13260.845272064207,12543.055388450624,12766.23155450821,11860.29506111145
11040.665994167328,11288.389118671415,11249.00377178192,10228.07106590271,11023.847630500792,10576.760027647018,11942.72093153,10960.024401664734,11726.530815124512,10670.259684562683
9860.741535663605,10165.892493247986,9865.987820148468,9092.884660482408,9867.237696647644,9437.216080904009,10906.351358413696,9805.841417312622,10480.667303085327,9666.626319646835
8781.866628170013,9116.816747188568,8874.312084436417,8339.757460355759,9103.201261520386,8585.925845861435,9906.724737167358,8793.463422775269,9457.66649866104,8464.919000148773
7917.803856611252,8389.150433301926,8189.871159076691,7380.467241764069,8152.613681316376,7857.727618455887,8966.142469644547,7943.380539178848,8748.101719141006,7782.439064860344
7276.505059480667,7664.452506542206,7661.13699388504,7017.973016738892,7586.746773719788,7423.433269619942,8267.700845718384,7501.128602981567,8026.384801149368,7096.664759278297
