"(0.0003, 5, 0.9) C-1","(0.0003, 5, 0.9) C-2","(0.0003, 5, 0.9) C-3","(0.0003, 5, 0.9) C-4","(0.0003, 5, 0.9) C-5","(0.0003, 5, 0.9) C-6","(0.0003, 5, 0.9) C-7","(0.0003, 5, 0.9) C-8","(0.0003, 5, 0.9) C-9","(0.0003, 5, 0.9) C-10"
71606.64599609375,76391.25668334961,74651.77005004883,72976.27040481567,74937.39902114868,78228.56616592407,73152.97024536133,71785.34286117554,74397.17614746094,74973.73439407349
34531.13264656067,39064.56930541992,36721.80845069885,36881.99726867676,37103.78936386109,39530.19561386109,36418.67070388794,35261.82456588745,36607.5034866333,37249.65470504761
25455.12079811096,28452.124673843384,27089.7691230774,27168.750869750977,26880.84294509888,28800.434480667114,26374.44320678711,26160.745626449585,26668.869705200195,27268.4255695343
21012.3261384964,23541.869438171387,22454.66687297821,22171.68543624878,21939.88102531433,23547.63848495484,21909.358352661133,21489.83298397064,22094.29883003235,22246.768571853638
18267.66422462464,20302.1371383667,19317.411549568176,19410.59773445129,18982.93374156952,20203.790773391724,19485.92006969452,18889.518983840942,19352.28263950348,19300.746369361877
16290.410173416138,18056.058135986328,17545.100264549255,17135.747876167297,17164.148112297058,17946.63075351715,17447.494381904602,16740.545538902283,17037.15373325348,17352.704799175262
15009.196865081787,16271.116889953611,15927.83110523224,15485.68925857544,15497.658652305605,16392.981167793274,16071.117681503296,15277.400384902954,15684.43217754364,15814.093957901001
14119.195664405825,15137.54993915558,14819.641322135923,14363.148961544037,14519.547597885132,14985.19707107544,14910.14604473114,14164.902564048769,14463.481452941896,14585.740018844604
13016.671708106996,13997.78802728653,13767.855868816376,13309.80329656601,13662.6833152771,13971.392311096191,14082.413469314575,13303.715370178224,13601.723104476929,13660.977073669434
12335.541786193848,13231.017585277556,13206.742269515991,12434.007482528688,12857.015839099884,12971.050679683683,13243.57892036438,12343.484778404236,12663.483550071716,12797.26481294632
11475.96426296234,12225.413349151611,12285.361081123352,11584.228857040403,12217.721149921415,12158.66150856018,12649.233972549438,11570.97084093094,12135.654293060305,12196.90919303894
10787.681682109833,11557.010278701782,11535.310846567154,10839.547501564026,11530.182322978972,11523.642807006836,12051.75798034668,10984.097886562347,11396.086900234222,11429.081855297089
