"(0.0001, 10, 0.9) C-1","(0.0001, 10, 0.9) C-2","(0.0001, 10, 0.9) C-3","(0.0001, 10, 0.9) C-4","(0.0001, 10, 0.9) C-5","(0.0001, 10, 0.9) C-6","(0.0001, 10, 0.9) C-7","(0.0001, 10, 0.9) C-8","(0.0001, 10, 0.9) C-9","(0.0001, 10, 0.9) C-10"
135825.23416137695,136307.0730895996,135577.42639160156,135431.80921936035,135505.09899902344,135738.26274108887,136758.32061767578,135966.11576843262,135838.02227783203,135185.52947998047
125812.28352355956,124466.45156860352,124696.9673461914,124132.91226196288,124428.70753479004,124362.36320495604,126906.03970336914,124063.71994018556,125434.238571167,124283.71952819824
108952.93714904784,109798.8462524414,108936.8516998291,110005.94140625,110008.73721313477,109269.31288146973,111240.17753601074,109241.52731323242,110812.74151611328,107568.93618774414
92784.1009979248,95932.43350982666,94455.66616821288,97398.44860839844,95179.2862854004,94017.4403076172,96468.83999633788,94287.92844390868,95851.34310913086,93627.69201660156
80347.71220397949,82055.00844573975,82186.9101486206,86333.91609191895,83077.39683532715,83050.0272140503,82593.07236480713,83227.17723846436,83535.61944580078,79840.13187408447
72000.15642547607,73132.66452026367,75950.13011169434,74653.25176239014,77028.02478027344,73035.51512145996,72722.48595428467,75029.88816833496,72862.55159759521,70058.70629882812
65114.11779022217,64063.47545623779,65308.13780212402,66787.42781066895,66349.32817840576,66108.09708404541,64839.95651245117,64728.821952819824,63156.12685394287,61054.49424743652
58536.899559021,58346.5307006836,58524.03054046631,61217.31046295166,62966.397369384766,60861.08316040039,60471.51917266846,61690.11045074463,55504.15410232544,54150.97541809082
53190.30784988403,51045.3430595398,53062.95065307617,54258.34273147583,54436.03495788574,53085.804122924805,53538.34803009033,54502.18980407715,50246.70209884644,47146.859436035156
47721.42533493042,46746.81346893311,52382.96937179565,47967.268688201904,49624.64806365967,49006.77841949463,51142.12047958374,48302.29079437256,42883.43091201782,41993.478591918945
43971.17821884155,41913.06377410889,44526.90990447998,44228.44219970703,45182.60998916626,43743.56547927856,44710.52939224243,44419.08739471436,37777.590633392334,36517.5283241272
39990.54808425903,37193.71320724487,40636.35079956055,38422.83073806763,41367.72738265991,41614.21766281128,41976.578117370605,43270.1457901001,33713.50555610657,32993.813636779785
