"(0.001, 5, 0.5) C-1","(0.001, 5, 0.5) C-2","(0.001, 5, 0.5) C-3","(0.001, 5, 0.5) C-4","(0.001, 5, 0.5) C-5","(0.001, 5, 0.5) C-6","(0.001, 5, 0.5) C-7","(0.001, 5, 0.5) C-8","(0.001, 5, 0.5) C-9","(0.001, 5, 0.5) C-10"
115025.67268371582,115118.6856842041,115315.12072753906,115073.17655944824,115023.40618896484,115772.48986816406,115673.11082458496,115112.75605773926,114612.57397460938,115660.2904663086
84880.74787902832,84205.95064544678,82739.6103591919,84440.3350906372,82900.09344482422,85369.47132110596,85369.3525314331,83721.44649505615,83786.57177734375,83817.95195007324
61986.95395278931,63136.61790847778,56921.8560295105,61799.91588592529,58560.33638763428,64244.74354934693,64224.44180679321,62585.1177406311,60574.83953094482,61825.66368103027
44509.40744400024,47314.96696472168,39132.83960723877,44882.29710006714,41118.15960884094,48462.08124160767,47275.31357192993,46851.39658355713,47673.94189071655,44791.308055877686
33546.35388755798,41490.422370910645,38918.05232048035,39778.42599105835,35432.94546699524,38218.00929260254,38081.3688583374,36623.63599395752,33729.85685920715,39232.76709365845
30030.877780914307,37428.51069068909,37341.985441207886,32470.74952507019,26579.155179023743,41323.50180530548,26480.76775074005,32528.952939987183,31223.41213798523,25972.45337486267
25869.79740524292,29306.18453979492,25652.2128200531,35054.675077438354,33493.948123931885,30400.22305870056,33193.33672142029,29761.280385017395,23622.88121700287,32375.009740829468
25069.24360466004,33312.1307220459,24860.980465888977,27712.05456161499,24171.534903526303,23440.007858276367,30500.377506256104,21174.16594028473,20627.23976516724,18006.59991168976
24087.94709682465,27774.21069908142,31170.49892044068,26637.90402984619,18033.686636924744,19200.55246448517,26529.324969291687,26843.87730693817,20623.020730495453,16579.18532848358
26940.103472709656,24547.62294006348,27418.963916778564,19547.535177230835,37318.19011688232,34457.107733249664,24517.86206150055,15582.421675682068,24467.68290710449,31823.121110916138
25196.82764148712,15651.70220375061,25710.34057903289,17397.494976997375,33677.795011520386,27151.44578933716,16729.601977348328,17584.00326681137,16675.24717617035,23062.734107017517
17357.555708885193,23492.313082695007,26642.42034435272,15781.78798007965,18938.901856422424,21186.032970428467,15311.176037311554,27151.72019100189,14912.487359046936,27188.614894866943
