"(0.001, 5, 0.75) C-1","(0.001, 5, 0.75) C-2","(0.001, 5, 0.75) C-3","(0.001, 5, 0.75) C-4","(0.001, 5, 0.75) C-5","(0.001, 5, 0.75) C-6","(0.001, 5, 0.75) C-7","(0.001, 5, 0.75) C-8","(0.001, 5, 0.75) C-9","(0.001, 5, 0.75) C-10"
95475.14097595216,96450.56533813477,94945.3370437622,97116.3321762085,94850.9138031006,95816.2183380127,94273.40482330322,95848.64009094238,97917.58018493652,96426.11445617676
47333.08165359497,49255.82447814941,47175.83061218262,50111.73540878296,50537.96910095215,46523.09091949463,46294.74602508545,47200.32083129883,50890.33633804321,50005.095863342285
30315.481441497803,34239.92451286316,30338.485305786133,31403.04896736145,39966.34448051453,28821.39062690735,28099.134925842285,42357.800062179565,37235.544483184814,33340.49993515015
25282.9972782135,27477.368019104004,27939.52336883545,21831.56854248047,36308.5892944336,23852.16770172119,18709.4788980484,33756.43095779419,25768.429990768436,32917.82753753662
17499.70115184784,21632.209332466125,19962.36875247956,20596.108615875244,25188.9205493927,17347.890789031982,14907.324584960938,23465.75530052185,17594.477927207947,20531.684019088745
14709.226105213163,23819.226391792297,16895.767777442932,15291.133408546448,16681.723420143127,13490.470298290253,20640.28748989105,15561.5920419693,20072.633001327515,16855.71651172638
17661.504133224487,16082.767864227297,12674.312332630156,13219.983635902405,16225.55929851532,11706.924849033356,13505.00810432434,15141.686943531036,13353.390840053558,13446.032315254211
12530.739416122437,13211.46568107605,11290.8944272995,11656.339749336244,14309.229913711548,10562.70348906517,10570.487676143646,30080.53396892548,23238.43270635605,11872.874189853668
10904.465428829191,11736.90435409546,10213.181987285614,10318.203869342804,22637.171031475067,9464.826311826706,9310.363208770752,24768.23134231568,22132.99632501602,10922.15870475769
10093.899276971815,10578.83036351204,9664.620046138763,9617.210965633392,20227.456327438354,11475.7501912117,8380.431320428848,31927.72337245941,10736.673890590668,9988.525589942932
9347.537262916563,9789.09364414215,8962.211164951324,9028.341755390167,11221.916612625122,9411.691559314728,8044.497906208038,12664.417580127716,9289.364665031431,9549.463074922562
8868.695618152618,9142.239500522614,8486.681989192963,8480.786119937897,9846.089255332949,8222.59594488144,7524.409876585007,10295.964240074158,16409.6555454731,8930.250805616379
