"(0.001, 0, 0) C-1","(0.001, 0, 0) C-2","(0.001, 0, 0) C-3","(0.001, 0, 0) C-4","(0.001, 0, 0) C-5","(0.001, 0, 0) C-6","(0.001, 0, 0) C-7","(0.001, 0, 0) C-8","(0.001, 0, 0) C-9","(0.001, 0, 0) C-10"
101695.81858062744,100225.26711273192,100245.38875579834,100723.95603179932,100199.9961090088,101834.93240356444,100716.55708312988,99533.0901184082,101196.65461730956,100213.97290039062
55829.23305892944,53858.9323387146,54518.196853637695,57227.13042449951,57680.47727203369,58157.96157455444,55678.585357666016,54573.85952377319,57470.240520477295,55589.36490249634
45765.26884651184,37890.07801628113,42010.62459754944,40594.17708587647,41157.99495506287,40249.68229675293,47297.98585319519,43902.20543861389,40202.39833259583,42604.48705673218
39515.33679962158,47133.17533683777,25025.99215888977,37234.722356796265,38483.36965179443,36433.44595336914,36749.03892993927,40106.28229522705,35869.638858795166,27849.55439376831
36511.60239601135,30266.0597076416,43393.22402667999,43001.35797691345,22234.11308670044,35252.60137653351,39870.87387466431,32991.55783081055,22493.78667163849,34075.56984138489
26073.298283576965,15810.899643421171,22786.37653541565,34428.390917778015,38974.60225868225,32269.963941574097,38539.005126953125,17395.10583972931,33845.097396850586,18319.75310230255
30241.60890579224,14535.341177940369,37866.04732608795,21339.659195899963,25022.653756141663,30432.89260196685,28812.84281539917,25621.84733104705,35590.515345573425,12058.214707374573
29500.805101394653,36913.74624204636,24057.151123046875,18077.987067222595,25840.74511051178,23193.4640955925,23017.77857017517,25495.008311271667,25049.16809940338,46718.27621746063
24725.071375846863,30698.42523765564,16644.33064031601,36167.1937379837,25252.37335205078,21363.1522564888,14208.13916683197,29529.422897338867,12501.549359798431,42802.33384037018
16481.35797071457,18277.327290534973,27280.57261562348,33492.54828453064,12052.320009231567,27389.584228515625,10916.677910804749,35410.98063659668,28584.339510440823,24578.10698032379
15828.644997119904,22388.35106277466,30533.0508852005,20013.39053678513,16891.15263080597,21358.611632347107,22614.929820537567,34233.268268585205,25109.96833705902,36805.113741874695
10396.990487575533,14398.045414447784,17096.046544075012,20985.658876895905,24232.6663646698,12110.86683177948,32296.95428943634,36358.16708469391,25822.44207763672,45805.79535293579
