"(0.0003, 0, 0) C-1","(0.0003, 0, 0) C-2","(0.0003, 0, 0) C-3","(0.0003, 0, 0) C-4","(0.0003, 0, 0) C-5","(0.0003, 0, 0) C-6","(0.0003, 0, 0) C-7","(0.0003, 0, 0) C-8","(0.0003, 0, 0) C-9","(0.0003, 0, 0) C-10"
119704.08638000488,117830.89385986328,118771.02171325684,119447.34761047363,117564.33448791504,118464.49461364746,119119.1110534668,118547.4448852539,121731.7809906006,120269.82527160645
80249.44249725342,75818.56173706055,77541.24495697021,80253.04378509521,73758.6527709961,79708.7353439331,77876.36193847656,78025.22410583496,81198.51859283447,81669.79695129395
56292.649253845215,51788.35332489014,51077.03268814087,57169.4797668457,49216.82064819336,56799.67218017578,53369.30965805054,51963.26276779175,56053.3418045044,56892.34740066528
41319.59594345093,36871.4349937439,35543.94305610657,42181.1400680542,35190.23811721802,43771.51710891724,37902.94106674194,35079.89493179321,41707.17538070679,43735.12699890137
31732.8590259552,28706.752674102783,27640.89569091797,32055.1577949524,27179.314418792725,35372.50464630127,28606.303634643555,26361.09595298767,32757.978677749637,35030.181186676025
25988.913845062256,23704.13506889344,23085.412189483643,25957.288276672363,22301.27862071991,29289.95795440674,23338.99060249329,21611.980052948,26166.679307937626,28914.941413879395
22115.73924446106,20483.306127548218,20127.38333034516,22374.917846679688,19328.60352230072,24882.77352333069,20389.81880760193,18759.47791194916,21892.402212142944,24872.655517578125
19368.077862739563,18213.121613502502,18029.81289291382,19727.075775146484,17417.36613559723,21496.832133293152,18058.19600200653,16789.259943008423,19556.462966918945,21547.563751220703
17456.902011871338,16747.822768211365,16542.41379070282,17682.653470039368,15662.797669410706,19207.43483448029,16246.758058547974,15201.398258209229,17655.15306854248,19169.9881772995
15979.249128341677,15482.26141166687,15155.145018577576,16417.843564987183,14517.707908630371,17557.294281959534,14894.085639953611,13894.85217666626,16438.883915901184,17339.573685646057
14795.627038002014,14374.387240409853,14295.81885433197,15250.105178833008,13556.487787246704,16054.492712974548,13882.686589241028,12858.001598358154,15203.355556488035,16005.94002532959
13860.282485961914,13608.792034626009,13407.8409948349,14157.751152038574,12817.21649503708,15049.219820976256,12865.234739303589,12065.029703617096,14201.527180194857,14830.731083869934
