"(0.001, 0, 0) C-1","(0.001, 0, 0) C-2","(0.001, 0, 0) C-3","(0.001, 0, 0) C-4","(0.001, 0, 0) C-5","(0.001, 0, 0) C-6","(0.001, 0, 0) C-7","(0.001, 0, 0) C-8","(0.001, 0, 0) C-9","(0.001, 0, 0) C-10"
5898.356210365892,5774.150809109211,5928.790529251099,5708.443026125431,5642.603311449289,5767.340005069971,6117.416647069156,6145.8548240065575,5710.238082557917,5943.4019884467125
1455.7777215093374,1554.3201124072075,1475.6780442260206,1433.8111776560545,1492.1128849051893,1430.694644600153,1553.198919646442,1535.748754248023,1487.1137885153294,1531.8771774843335
788.3344629947096,838.3168465886265,921.8996932394804,814.4208083897829,816.708443492651,783.2006800957024,819.4239954482764,849.4062957204878,773.7597916275263,864.5584779903293
449.9450794225559,445.1459087152034,356.37387965479866,462.2725960179232,500.2209377340041,442.6254858556204,467.5451655900106,531.5486354213208,443.6819778608624,466.9637689143419
248.378317468334,262.4396767450962,300.07564826204907,268.46769990673056,206.4152976050973,246.2584594757064,273.00723961915355,321.8286805571988,278.56013037159573,273.9288390853908
136.68714007624658,136.11955042602494,149.82066941080848,181.31917938916013,140.9829038264579,136.40772079548333,157.12187982308387,145.53955642011715,115.00059160549426,162.4555518081179
89.05023199412972,94.67991472408175,59.968452402055846,99.04931667790515,93.53499767871108,107.35656993158044,102.26669402024709,83.92696809061454,61.94894979291712,74.66314320609672
39.97716085057255,79.26678429132153,54.80702748073236,37.2860087911904,46.01662603177829,61.78534197420231,66.20925575893489,64.03492614622519,53.37569305028592,66.75572685874067
35.889072393023525,42.52162549216882,53.89678737871145,30.54989168226893,26.3039075445704,37.31465807454333,46.466122304357214,48.84024258288264,31.85473562461266,46.448962482463685
32.51601893156112,19.378868370997225,20.14655444469645,42.78469926217804,34.10061798714014,29.02229047704168,38.38306896672293,33.93482221997692,23.640112879087155,36.21583223030757
25.531372881072457,18.602525860826063,16.996045445102936,27.122101335600743,18.53604626973538,19.175769680389067,21.542095913155208,23.433689264797067,19.904931981281152,16.594772085699788
13.503099174929956,24.001635365320908,18.313272696383137,10.47840670846108,13.207272790748902,19.790089550369885,16.13564765332376,20.655057306052186,17.022171779924065,11.740815226481118
