"(0.001, 0, 0) C-1","(0.001, 0, 0) C-2","(0.001, 0, 0) C-3","(0.001, 0, 0) C-4","(0.001, 0, 0) C-5","(0.001, 0, 0) C-6","(0.001, 0, 0) C-7","(0.001, 0, 0) C-8","(0.001, 0, 0) C-9","(0.001, 0, 0) C-10"
137435.97003173828,,,167481.90559387207,136388.40603637695,139626.9111175537,156489.6293334961,,141071.93684387207,inf
136974.0074005127,,,140066.21742248535,136850.62678527832,136016.31022644043,137348.88624572754,,136844.86283874512,inf
136362.50610351562,,,140659.37007141113,136968.55377197266,136034.3133392334,136866.02014160156,,136089.36651611328,inf
135919.91047668457,,,139106.72666931152,135588.51597595215,135959.0174255371,136344.20748901367,,135807.0089416504,inf
135670.3020477295,,,138941.8798980713,135694.2233581543,135897.7473602295,135941.74951171875,,135760.94522094727,5.758497481843791e+40
135723.19409179688,,,138352.8138885498,135749.5983428955,135919.62907409668,135933.0096282959,,135768.18299865723,3.212557166933545e+40
135671.57148742676,,,138301.3147277832,135745.16352844238,135891.60244750977,135865.59928894043,,135735.2500152588,1.793444430225178e+40
135620.44120788574,,,137676.8137359619,135787.35034179688,135973.60258483887,135837.77697753906,,135669.65036010742,1.0019760114789203e+40
135751.9686126709,,,137662.13511657715,135756.4355621338,135941.2734527588,135789.88432312012,,135699.4433746338,5.59186507703916e+39
135588.96685791016,,,137117.2548828125,135671.48182678223,135867.6001739502,135842.72790527344,,135655.55841064453,3.121970075554092e+39
135714.205078125,,,137311.76991271973,135768.9575958252,135915.2388458252,135877.86428833008,,135719.0121307373,1.7437918292813213e+39
135728.23306274414,,,137566.9167327881,135701.66268920898,135982.87432861328,135926.37712097168,,135726.71084594727,9.737747014337464e+38
