"(0.001, 5, 0.5) C-1","(0.001, 5, 0.5) C-2","(0.001, 5, 0.5) C-3","(0.001, 5, 0.5) C-4","(0.001, 5, 0.5) C-5","(0.001, 5, 0.5) C-6","(0.001, 5, 0.5) C-7","(0.001, 5, 0.5) C-8","(0.001, 5, 0.5) C-9","(0.001, 5, 0.5) C-10"
11046.66682678461,12012.20793813467,11632.002504885197,11195.488196909428,10409.713523387907,11359.84889435768,11024.678600132464,10594.037896811962,11325.6687169075,10675.041566848755
2926.611987233162,3038.690213680268,2938.047813415528,2950.897997647524,2942.159275829792,3034.799984127283,3015.6242525428534,2965.709106326103,3036.270188480616,2903.55301271379
1996.7421374469995,2080.4480293020606,2010.348649442196,2033.9810855016112,2111.56481038779,2021.617380596697,2018.9548828452823,2105.000402890146,2108.8915866315365,2037.9837044477463
1563.7616513743997,1554.6871375311166,1593.2487322092056,1536.9769587665796,1526.7488639447838,1524.5090155340731,1534.3013933356851,1503.9672132059932,1526.2656841911376,1518.1396053992212
1242.9492335021496,1271.2335167601705,1227.0980469062924,1228.6944634933025,1152.831655146554,1240.039600878954,1163.894421607256,1183.4789947587997,1216.6228711046278,1162.165352624841
943.247487985529,1089.5230860821905,956.6511914441362,965.1015851572156,944.21649102401,929.1366654979064,922.9248931128532,958.3341388562694,1061.510041016154,965.8206162499264
871.2004627911374,770.9670183253475,850.3122128993273,813.2537056929432,781.3698237007484,799.6929037035443,794.5593561127316,854.5893298261799,787.1734073013067,770.7943844525144
689.784447430633,675.8074837075546,650.1109011153458,653.7732339943759,720.2561193578877,644.4996139551513,690.8220153544098,651.3570352671668,659.3316175537184,617.2292124056257
623.8481028643437,633.3200715784915,610.0971884233877,615.1557820633752,575.0753477606922,577.6557316662511,514.9973599083023,651.9868849390186,606.7327926038997,583.307299598353
428.9533213592367,467.3260977528989,503.6892440197989,557.3949770819163,482.17373952874914,524.8349923817441,504.9027021492366,492.7691647259053,564.9196915910579,457.4685140317306
500.53425303119,475.2669879127061,435.1200967172626,426.5379149081418,445.9264744498069,477.4936970237759,389.1652457891614,412.9885634840466,439.8141249336768,471.51968225324526
436.0261723836884,466.15715103049297,397.9919497545925,409.5970680661849,348.6710286522866,389.8369866028079,465.13816547219176,392.45361902646255,406.11594564374536,337.2161133801419
