"(0.001, 5, 0.5) C-1","(0.001, 5, 0.5) C-2","(0.001, 5, 0.5) C-3","(0.001, 5, 0.5) C-4","(0.001, 5, 0.5) C-5","(0.001, 5, 0.5) C-6","(0.001, 5, 0.5) C-7","(0.001, 5, 0.5) C-8","(0.001, 5, 0.5) C-9","(0.001, 5, 0.5) C-10"
12034.806474864485,12259.602468311788,11073.587374448776,12764.438424885271,12080.340443849564,15118.61010503769,13573.331865549088,12072.185258328916,11204.432346642016,11694.754720687866
5708.161667943001,5849.490781515837,5845.946400105953,5955.545978486538,5711.410392820835,6712.419868052006,5996.900892153382,5675.478802144527,5624.789739876986,5562.429899185896
4777.590674996376,5000.355396658182,4891.730744451284,6750.424356460571,5118.570434093475,5464.94715410471,5419.479818820953,5379.056333124638,5184.882983416319,5156.808955788612
5448.072613537312,5353.798543184996,5337.530518263578,5271.912959158421,6086.252586901188,5192.651556819677,6397.0531004965305,5824.710799098015,5250.725229233503,4944.219999104738
4401.496590048075,4621.216215163469,4959.967330545187,5426.684164047241,5299.216434657574,5190.095048844814,5387.1381432414055,4442.194407761097,4690.514150470495,4462.316406339407
4162.293081045151,4805.277431279421,4933.140059292316,4716.199472039938,4832.833310455084,5279.963479548693,4822.735034704208,5979.671631395817,4731.699599802494,4870.329783886671
5117.369320869446,4334.589048832655,4610.3926303088665,4819.961552649736,4246.326996207237,5320.147924691439,5495.375714182854,4246.334882766008,4448.160157456994,4488.124116420746
3827.3896778821945,4058.4662583470345,3732.8212359547615,4500.1482419371605,4412.936644911766,4755.224848300219,4620.465880215168,5363.810698479414,3843.778751760721,4515.168236702681
4390.421553194523,3353.719567894936,4379.324645593762,5425.556876897812,5061.897501647472,4568.932429820299,6325.3119982481,4170.262352064252,4733.087226003408,4095.488626539707
4160.830838188529,3070.0776458382607,3498.680136233568,4910.652568817139,4332.860041052103,5436.797365695238,5355.093831852078,4937.615420013666,3337.203186929226,5101.325932383537
3791.566693112254,2700.2630636394024,2816.952634230256,4178.225686997175,4426.152730703354,4046.947461277248,3557.17311245203,4133.151652634144,3815.375500828028,4271.112023085356
3848.208189785481,2606.6138628423214,4079.281364776194,5042.203649550676,4018.381263151765,4367.8686401546,3368.039403021336,3803.32179248333,2662.4894410669804,5094.5145281255245
