"(0.0003, 10, 0.9) C-1","(0.0003, 10, 0.9) C-2","(0.0003, 10, 0.9) C-3","(0.0003, 10, 0.9) C-4","(0.0003, 10, 0.9) C-5","(0.0003, 10, 0.9) C-6","(0.0003, 10, 0.9) C-7","(0.0003, 10, 0.9) C-8","(0.0003, 10, 0.9) C-9","(0.0003, 10, 0.9) C-10"
43163.54264831543,39557.529134750366,37888.18045377731,41561.595010757446,38814.18239116669,38182.75539779663,39473.72702884674,39101.96796417236,41713.78729724884,37033.889578819275
16962.522883176804,10508.070555448532,11016.43323802948,11562.671990156174,10896.844784498217,25398.185192108154,12404.294731378555,10800.606555223463,10518.20526099205,10700.156578302383
7761.697688102722,9476.217476606367,7591.521391034126,7391.1136075258255,8945.500801801682,67694.85211849213,10255.78035736084,70904.80130338669,7942.438860654831,7247.896404981613
5706.711620807648,9530.199122667313,7303.578717947006,5706.019144654274,6845.599113225937,9754.855772733688,5896.5537939071655,9243.57704782486,14962.43783211708,8074.193248748779
5251.500759601593,,5289.117398142815,4736.317792475224,4909.769318759441,7224.263667106628,4851.448357582092,5955.041014313698,5550.440148472786,4828.908163905144
4131.965476751328,,4121.5682473778725,4115.313100576401,4234.010917365551,5332.380875706673,4734.121057510376,4810.899524688721,4437.659657537937,4089.5876070261
3532.1821325421333,,3534.678952336312,3605.759043574333,4570.165177494288,7701.024869918823,3756.288100361824,83344.5498085022,7695.355956315994,3527.044215172529
3312.5266641378403,,3230.891323238611,3629.170974105597,3203.948062121868,4978.38799315691,3392.246606886387,10867.160603284836,9628.183736741545,3159.2179018855095
2886.8505209982395,,3072.3469997644424,2978.7154924869537,2848.2683031857014,,2925.67500308156,,3475.4786958396435,2843.64260917902
2570.7293509840965,,3360.162900909781,2665.787955224514,2567.673136979341,,2725.7377647459507,,3019.084578469396,2516.6515355557203
2341.156300649047,,179938.73539733887,2556.911356687546,2337.519736021757,,2474.175564303994,,2683.7494703531265,2338.5713586211205
,,138564.36380004883,2384.980188012123,2130.187782615423,,2305.402263566852,,2459.857800349593,2163.3540180921555
