"(0.0003, 10, 0.5) C-1","(0.0003, 10, 0.5) C-2","(0.0003, 10, 0.5) C-3","(0.0003, 10, 0.5) C-4","(0.0003, 10, 0.5) C-5","(0.0003, 10, 0.5) C-6","(0.0003, 10, 0.5) C-7","(0.0003, 10, 0.5) C-8","(0.0003, 10, 0.5) C-9","(0.0003, 10, 0.5) C-10"
60485.16381263733,58136.93815994263,57157.58795928955,57048.62144088745,60771.054290771484,58137.79839515686,61217.77525901794,59296.45931339264,61369.60355567932,61976.2896194458
16785.5739030838,16833.731632232666,16826.74584197998,16363.16593170166,17128.098326683044,17278.503302574158,17231.745086669922,16268.39277458191,16642.620797634125,16895.704174041748
10997.781183719637,10842.913257837296,11198.943504810331,10611.320053100586,11261.19415807724,11112.407463550568,11274.078046798706,10796.802374362946,10798.839907169342,11059.849825382233
8563.672981262207,8406.999672174454,8598.002082586288,8174.175101995468,8637.688477277756,8513.387817621231,8421.378101706505,8327.708360910416,8121.608201742172,8394.120389938354
7145.659417152405,6614.939906835556,6999.540367603302,6584.324645042419,7005.212688088417,6821.687070608139,7110.664033412933,6824.40544128418,6660.974382638931,6796.875275611877
5887.655829548836,5856.779555559158,6049.511428236961,5632.900133490562,5991.586544752121,5945.357412457466,5982.557365894318,5906.136068701744,5670.703288435936,5839.794862627983
5097.152940869331,5107.51900267601,5336.95305621624,4977.129060864449,5258.410467743874,5099.934931874275,5121.394476234913,5246.534353613853,4842.914565086365,5124.723930001259
4407.454190433025,4494.007849574089,4607.809808194637,4349.6802923083305,4637.15929466486,4622.126554131508,4586.750988006592,4496.456592917442,4299.89345908165,4583.122339785099
4105.695619940758,4096.357922852039,4151.855498611927,3927.2129062712193,4188.210148155689,4003.686618328096,4145.091683804989,4117.491994351149,3952.334835529328,4180.975530326366
3694.2273812294006,3828.2500696778297,4059.0398575663567,3587.317774534225,3695.5223758220673,3674.939108610153,3728.640659749508,3656.602946281433,3573.812365114689,3744.3383769392967
3409.6707072258,3404.5217449069023,3652.279146194458,3385.00086581707,3477.7139140963554,3488.3283646702766,3393.959807038307,3499.2982276678085,3288.770552814007,3420.7874892652035
3079.243552982807,3094.27674651146,3215.2772828936577,2997.4344777464867,3143.64619588852,3103.574779063463,3297.4099923968315,3071.6708737313747,2982.498310223222,3128.227002263069
