"(0.003, 10, 0.9) C-1","(0.003, 10, 0.9) C-2","(0.003, 10, 0.9) C-3","(0.003, 10, 0.9) C-4","(0.003, 10, 0.9) C-5","(0.003, 10, 0.9) C-6","(0.003, 10, 0.9) C-7","(0.003, 10, 0.9) C-8","(0.003, 10, 0.9) C-9","(0.003, 10, 0.9) C-10"
24070.411514759064,17003.825999438763,17508.89547175169,19418.74274897576,16248.248507201672,22134.08310729265,17468.963002443314,46514.980219483376,17377.209940195084,
3518.339429318905,3244.7230604588985,3368.742734849453,3199.835436627269,3111.225109755993,3707.97723929584,3184.7062476426363,4335.086263656616,3197.862021446228,
2395.1573534831405,2238.30141312629,2272.409686923027,2123.3432887792587,2.7003449405717503e+39,2518.983716055751,2104.939766742289,2944.327201910317,2201.6864147037268,
1818.2468103077265,1586.7950759530067,1727.0730186589062,1565.3059948384762,4.689632609511166e+37,2024.5882276147604,1584.782099600881,2261.095064714551,1817.768269866705,
1448.299712814391,1292.0571882035583,1376.3782797250897,1165.2492558136582,3.3137187620452268e+35,1508.0214895382524,1303.14757559821,1763.912405371666,1281.0849086232483,
1197.0338793434205,1000.85665202979,1080.0124596636742,925.8504849523306,2.4138207762161164e+33,1259.1070044524968,953.9390387544408,1516.8202911913395,1027.843139534816,
968.2559605166316,805.0198200086597,838.4253435279243,819.5683116950095,1.689462990861048e+31,1024.4593159332871,763.1592126507312,1190.632808316499,842.7767938785255,
746.5587513959035,601.535980889108,713.848152898252,601.9294398184866,1.1850510888542045e+29,855.6313409619033,598.9146241117269,966.2137408647686,711.0620767064393,
636.7390765347518,582.6172638880089,503.43361491011456,550.623710693093,7.943804863406157e+26,714.3823034120724,458.92889122175984,974.6001311140136,550.3252534903586,
521.5028193923645,378.1846986568999,494.3303705959115,378.867481817957,5.846287911297285e+24,671.5972795151174,340.975745664211,701.5077380249277,416.6564177521505,
473.5332032905426,324.74708300526254,424.28845094516873,333.3390673371032,4.170844576563796e+22,480.8212349441601,328.2101677468745,553.0895478904713,364.4266493406613,
361.3093042992987,193.63860100740567,357.3744586856337,253.59997896989807,3.1113262100367016e+20,392.3782912271563,274.8431242600782,558.0703241901938,249.6579546092544,
