"(0.0001, 0, 0) C-1","(0.0001, 0, 0) C-2","(0.0001, 0, 0) C-3","(0.0001, 0, 0) C-4","(0.0001, 0, 0) C-5","(0.0001, 0, 0) C-6","(0.0001, 0, 0) C-7","(0.0001, 0, 0) C-8","(0.0001, 0, 0) C-9","(0.0001, 0, 0) C-10"
72481.33095359802,72509.50167655945,76253.19092941284,69887.55248641968,75537.85114860535,71343.57444190979,69044.18272972107,65700.81433677673,70599.70936393738,72040.72211837769
21449.81712436676,21571.955067634583,22100.93365573883,20920.040391922,21500.01411151886,21173.2795085907,20006.26012992859,20079.14428806305,21138.84928226471,21514.06857395172
13689.622646808624,14309.662843704224,14254.97801733017,13782.229138374329,13860.872371673584,14063.885904312134,12967.085518836975,13164.131450653076,13945.132249832152,14167.445614337921
9937.333708763124,10790.639571666718,10672.469825267792,10334.842764377594,10134.76735639572,10555.596421718596,9943.533906936646,9930.223471403122,10488.77337884903,10515.718246459961
8051.70426607132,8688.175284147263,8587.708979845047,8341.915264844894,8444.034008979797,8573.077991485596,8031.375184774399,8249.721904277802,8577.454415082932,8507.651968717575
6824.595302581787,7326.550853729248,7316.994395017624,7157.52329492569,7111.1158047914505,7338.638523578644,6944.894540786743,7040.512979984283,7299.585964441299,7397.553463220596
5943.527490139008,6427.893706560135,6460.24596953392,6330.997668623924,6188.2321128845215,6495.651679635048,6026.694341301918,6264.948412895203,6324.5788033008575,6294.708649992943
5269.569244027138,5819.624455213547,5746.140498518944,5752.895282030106,5500.835488200188,5717.0785176754,5381.16408598423,5779.892528295517,5759.325870156288,5539.155349135399
4799.827242612839,5201.663314580917,5221.991523742676,5151.674074053764,5044.85690164566,5202.214522480965,4927.811898708344,5224.766177654266,5215.033662319183,5060.166579842567
4420.85632956028,4743.246884942055,4809.623893022537,4750.621111512184,4513.560433149338,4763.536635816097,4536.871851682663,4721.428046345711,4764.143404960632,4633.911515891552
4080.994039595127,4414.250271260738,4387.690029621124,4294.379498779774,4195.813334524632,4383.5646595954895,4128.571612000465,4399.968286573887,4368.248307168484,4335.833819568157
3774.697085440159,4047.832068860531,4057.5284145474434,4128.212541639805,3957.096778094769,4115.448280751705,3839.978395819664,4154.22941160202,4071.484201252461,3918.880609035492
