"(0.003, 0, 0) C-1","(0.003, 0, 0) C-2","(0.003, 0, 0) C-3","(0.003, 0, 0) C-4","(0.003, 0, 0) C-5","(0.003, 0, 0) C-6","(0.003, 0, 0) C-7","(0.003, 0, 0) C-8","(0.003, 0, 0) C-9","(0.003, 0, 0) C-10"
15404.014055490494,18666.74384200573,19793.49622607231,16064.064399778845,,26310.49341031909,20314.70475769043,138295.3365020752,18041.275969311595,19095.016028523445
2981.806310743093,3193.7498273849487,3405.6456861644983,2981.467456705868,,3393.691210716963,3224.418833076954,138218.68730163574,3546.977808207273,3201.974569141865
2012.282221883536,2130.5332068279386,2393.2503690719604,2045.8649651706216,,2319.7343098297715,2052.9540422819555,138202.88304138184,2085.482148438692,2239.846649289131
1444.520978987217,1586.3045118115842,1808.5390721559525,1493.827002350241,,1754.9999919869006,1620.24633994326,138221.57098388672,1614.1147285550833,1591.8898973912
1141.6315989107825,1267.952034229413,1410.5600911192596,1204.0696825310588,,1415.1110771223905,1198.363805485889,138207.92318725586,1211.3423530627042,1249.1642690747976
996.060179485008,983.6535156406462,1063.2800780721009,841.2171989353374,,1184.226771172136,962.8387189311908,138197.4147644043,943.0878945179284,1052.1051488220692
964.6938843526876,739.5585662284866,844.6729904646054,715.100499692373,,930.6272338032722,788.179207121022,138176.0690460205,739.6069582286291,758.4107133876532
635.0647346209735,618.1880171936937,722.104058410041,514.1751412439626,,753.2215564409271,649.4359049201012,138175.32522583008,589.2992687320802,582.2343552210368
515.3046564736869,574.6309665986337,542.7250830749981,504.7086508166976,,642.8635114105418,490.9379079422215,138170.99156188965,520.6830967622809,462.37064823298715
331.48589572589844,365.9812567657791,524.5838844687678,390.9164987690747,,461.7314694149536,456.8421194354305,138168.91487121582,565.310650662519,450.10556372604333
262.08627170315594,295.96445521118585,389.0144435612019,328.8024796352256,,505.05836343669216,370.7704342996003,138168.99867248535,376.1104102557292,344.484787545196
185.35193010576768,343.010901398171,396.5164849370485,226.9115977324545,,319.8341034099576,315.7753787676047,138161.94093322754,268.658532542031,251.09362349344883
